class,support,correct,class_accuracy_recall,precision,recall,f1_score
Low,10,0,0.0,0.0,0.0,0.0
Moderate,33,14,0.42424242424242425,0.4666666666666667,0.42424242424242425,0.4444444444444444
High,53,41,0.7735849056603774,0.6212121212121212,0.7735849056603774,0.6890756302521008
