class,support,correct,class_accuracy_recall,precision,recall,f1_score
3,1,0,0.0,0.0,0.0,0.0
4,1,0,0.0,0.0,0.0,0.0
5,8,0,0.0,0.0,0.0,0.0
6,14,1,0.07142857142857142,1.0,0.07142857142857142,0.13333333333333333
7,19,8,0.42105263157894735,0.27586206896551724,0.42105263157894735,0.3333333333333333
8,16,14,0.875,0.21875,0.875,0.35
9,30,1,0.03333333333333333,0.5,0.03333333333333333,0.0625
10,7,0,0.0,0.0,0.0,0.0
