figure,subject,exercise,set_id,samples,true_reps,predicted_reps,file
artifacts/scratch/dcp_dp_fs_waveform_rerun_20260518_124534/presentation_9axis_waveforms/01_haoyu0512workout_db_biceps_curl_3_active0_9axis_boundary.png,haoyu0512workout,db_biceps_curl,3:active0,4484,12,12,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv
artifacts/scratch/dcp_dp_fs_waveform_rerun_20260518_124534/presentation_9axis_waveforms/02_haoyu0512workout_db_squat_2_active0_9axis_boundary.png,haoyu0512workout,db_squat,2:active0,3383,12,12,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv
artifacts/scratch/dcp_dp_fs_waveform_rerun_20260518_124534/presentation_9axis_waveforms/03_haoyu0512workout_db_shoulder_press_1_active0_9axis_boundary.png,haoyu0512workout,db_shoulder_press,1:active0,4372,12,12,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv
artifacts/scratch/dcp_dp_fs_waveform_rerun_20260518_124534/presentation_9axis_waveforms/04_haoyu0512workout_one_arm_db_row_2_active0_9axis_boundary.png,haoyu0512workout,one_arm_db_row,2:active0,4202,12,12,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv
