stage,model_type,fold,train_subjects,val_subject,test_subject,selected_alpha,val_selection_mae,n_features,val_n,val_mae,val_rmse,val_r2,val_spearman,val_rounded_exact_acc,val_rounded_pm1_acc,test_n,test_mae,test_rmse,test_r2,test_spearman,test_rounded_exact_acc,test_rounded_pm1_acc
M0_exercise_mean,exercise_mean,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,,1.6809731726018107,0,266,1.6809731726018107,2.059616882909059,0.06973681085643768,0.3527985369226956,0.18796992481203006,0.5037593984962406,289,1.7485538515026953,2.152371895647774,0.0018003547378594442,0.18184536966510265,0.19377162629757785,0.4740484429065744
M0_exercise_mean,exercise_mean,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,,1.8372828879578176,0,281,1.8372828879578176,2.328794621930762,-0.3051910380141887,0.31974496907330663,0.20284697508896798,0.5266903914590747,266,1.7702128085219435,2.165359382477123,-0.028236276878937927,0.33136108831896566,0.16165413533834586,0.4849624060150376
M0_exercise_mean,exercise_mean,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,,1.9832512113162106,0,275,1.9832512113162106,2.3131195597694134,-0.11983160633985657,0.01839271605275735,0.12363636363636364,0.3490909090909091,281,1.7086694940091347,2.2048798916321393,-0.1699884584610969,0.33691594269333086,0.2206405693950178,0.5765124555160143
M0_exercise_mean,exercise_mean,4,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yushuan0513workout|ziho0512workout,yoru0511workout,yanz0510workout,,1.3850333497235705,0,285,1.3850333497235705,1.8739870309888864,-0.02501807471719264,0.2724645179998417,0.2736842105263158,0.6526315789473685,275,2.023033720419541,2.3443346667491305,-0.1502593663278513,0.01839271605275735,0.11272727272727273,0.31272727272727274
M0_exercise_mean,exercise_mean,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,,1.5811454688176283,0,281,1.5811454688176283,2.051098730144358,0.03267406065882539,0.2138161874521332,0.21352313167259787,0.594306049822064,285,1.4149817220165768,1.894695248764453,-0.04779686261694249,0.27369132836309523,0.2596491228070175,0.6280701754385964
M0_exercise_mean,exercise_mean,6,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout,ziho0512workout,yushuan0513workout,,1.8533592136559056,0,268,1.8533592136559056,2.247571957805522,-0.32350135247982603,0.04252283250989921,0.15671641791044777,0.4925373134328358,281,1.6198499252461795,2.0932013185659053,-0.007445825296280795,0.09402483005664432,0.23843416370106763,0.5800711743772242
M0_exercise_mean,exercise_mean,7,hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout,haoyu0512workout,ziho0512workout,,1.8174694538184215,0,289,1.8174694538184215,2.2280918630354405,-0.06966791958168028,0.1280517457239168,0.19377162629757785,0.4740484429065744,268,1.8678067888648595,2.265486889347064,-0.34468415068573033,0.06857835052247606,0.15671641791044777,0.4925373134328358
M1_exercise_plus_rep_progress,ridge,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.01,1.377798178662698,9,266,1.377798178662698,1.6667913550793267,0.39075015350347886,0.6347618876897478,0.21052631578947367,0.5902255639097744,289,1.1777150870407906,1.397396931539381,0.5792517130716492,0.8397214896150621,0.1972318339100346,0.7231833910034602
M1_exercise_plus_rep_progress,ridge,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,100.0,1.6305007792408184,9,281,1.6305007792408184,2.091936559713477,-0.05319484320192247,0.5583217693196769,0.2846975088967972,0.5195729537366548,266,1.466253600942606,1.799883998785375,0.28956887225089356,0.6078037519964758,0.20300751879699247,0.5902255639097744
M1_exercise_plus_rep_progress,ridge,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,100.0,1.8792821084838844,9,275,1.8792821084838844,2.1484703511285193,0.03391511245296153,0.3562776274119397,0.10545454545454545,0.36,281,1.5306358858088962,1.9578274893007392,0.07751237655920007,0.5763930727464602,0.26334519572953735,0.5693950177935944
M1_exercise_plus_rep_progress,ridge,4,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yushuan0513workout|ziho0512workout,yoru0511workout,yanz0510workout,100.0,1.313704419109944,9,285,1.313704419109944,1.6327037080757476,0.22193994458168953,0.5580772745094317,0.22456140350877193,0.631578947368421,275,1.9030493674496871,2.183559150321726,0.0021012447669569445,0.35845646749479987,0.10545454545454545,0.3563636363636364
M1_exercise_plus_rep_progress,ridge,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.01,1.147250529176262,9,281,1.147250529176262,1.4409658031143504,0.5225729177995115,0.7439119387501311,0.3096085409252669,0.6832740213523132,285,1.3298799088540925,1.6545772960603642,0.20095270988782699,0.5568996683613426,0.23157894736842105,0.6350877192982456
M1_exercise_plus_rep_progress,ridge,6,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout,ziho0512workout,yushuan0513workout,0.01,1.5312512409407488,9,268,1.5312512409407488,1.760485838808652,0.18798836596594382,0.7124271009003169,0.1417910447761194,0.5149253731343284,281,1.2281860260785715,1.5151541566820073,0.4721465729893466,0.7129121709495285,0.2669039145907473,0.6548042704626335
M1_exercise_plus_rep_progress,ridge,7,hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout,haoyu0512workout,ziho0512workout,0.01,1.3056006753089475,9,289,1.3056006753089475,1.527133417161067,0.4974992120521117,0.8047611586235082,0.18339100346020762,0.6228373702422145,268,1.5701529121886952,1.791726393314832,0.15891369431088442,0.7129953432958158,0.11940298507462686,0.48134328358208955
M2_exercise_plus_cumulative_tut,ridge,1,tsenyu0515workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,hsianshun0514workout,haoyu0512workout,0.01,1.4721301083843494,9,266,1.4721301083843494,1.7742660495569313,0.30964824266069135,0.5914694756251313,0.21804511278195488,0.5338345864661654,289,1.2302995208321246,1.5061151498100611,0.5112360792247406,0.7999804935081788,0.2041522491349481,0.6920415224913494
M2_exercise_plus_cumulative_tut,ridge,2,haoyu0512workout|yanz0510workout|yoru0511workout|yushuan0513workout|ziho0512workout,tsenyu0515workout,hsianshun0514workout,100.0,2.0163210847074287,9,281,2.0163210847074287,2.508682553431433,-0.5146180328910053,0.5959551293123211,0.18149466192170818,0.498220640569395,266,1.5402052983180128,1.8834491173205639,0.22206961700141736,0.5459985171576996,0.20300751879699247,0.5526315789473685
M2_exercise_plus_cumulative_tut,ridge,3,haoyu0512workout|hsianshun0514workout|yoru0511workout|yushuan0513workout|ziho0512workout,yanz0510workout,tsenyu0515workout,100.0,2.0664839987486094,9,275,2.0664839987486094,2.336440434645805,-0.1425257214626794,0.20712691623920934,0.09454545454545454,0.3018181818181818,281,1.895978972481801,2.3811984292356967,-0.36459218234831603,0.608772572273421,0.18149466192170818,0.505338078291815
M2_exercise_plus_cumulative_tut,ridge,4,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yushuan0513workout|ziho0512workout,yoru0511workout,yanz0510workout,100.0,1.2793342983336635,9,285,1.2793342983336635,1.5744598507893794,0.2764616710094717,0.5177215024212577,0.22456140350877193,0.656140350877193,275,2.1076393759547645,2.3939716676369,-0.19948430987540644,0.20843684975945548,0.10909090909090909,0.3236363636363636
M2_exercise_plus_cumulative_tut,ridge,5,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|ziho0512workout,yushuan0513workout,yoru0511workout,0.01,1.2429943197282194,9,281,1.2429943197282194,1.5998518876467485,0.41148266674322687,0.681276864748733,0.2918149466192171,0.6654804270462633,285,1.265094155208606,1.5772621713328907,0.27388378281017056,0.5352299290098098,0.22807017543859648,0.6877192982456141
M2_exercise_plus_cumulative_tut,ridge,6,haoyu0512workout|hsianshun0514workout|tsenyu0515workout|yanz0510workout|yoru0511workout,ziho0512workout,yushuan0513workout,0.01,1.6784795872085936,9,268,1.6784795872085936,1.9706638822569438,-0.017471594848698757,0.5720320150975144,0.1417910447761194,0.458955223880597,281,1.3137193993311518,1.6646470536500813,0.36284655571436475,0.6365519832968308,0.2526690391459075,0.6441281138790036
