timestamp,ax,ay,az
9342808,-1085,2221,15101
9342818,-625,2008,15341
9342828,-552,2303,16926
9342838,-1204,2129,14387
9342848,-1065,2557,16912
9342868,-1106,2359,15819
9342878,-230,1804,15288
9342888,-571,2216,16428
9342898,-1001,2364,15951
9342908,-176,1877,15649
9342918,-1087,2026,14205
9342938,-479,1810,14718
9342948,-1371,2376,15266
9342965,-1344,2564,16191
9342972,-1344,2564,16191
9342982,21,2038,16980
9342992,-826,2019,14774
9343006,-715,2505,17504
9343016,-983,2138,15063
9343026,98,2024,17138
9343046,-1148,2627,17101
9343056,-1377,2579,16134
9343066,-1422,2565,16012
9343076,-1598,2368,14634
9343086,-1560,2445,15131
9343096,-1561,2319,14521
9343106,-1589,2375,14618
9343126,-769,2317,16447
9343136,-442,1773,14657
9343146,-110,1949,16110
9343160,-1438,2498,15547
9343170,-1480,2263,14287
9343180,-1435,2340,14951
9343190,-1046,1919,13847
9343200,138,1824,15980
9343210,-443,2456,17943
9343226,182,2147,17823
9343236,-48,1862,15886
9343246,-953,2406,16331
9343256,92,1857,16324
9343266,-954,2220,15401
9343276,-70,2084,17058
9343286,-467,2185,16410
9343296,-994,2256,15594
9343306,-56,2123,17208
9343316,-1276,2174,14369
9343326,-767,2471,17173
9343346,-102,1746,15216
9343366,-571,2154,16195
9343380,-542,1839,14690
9343390,-542,1839,14690
9343400,-1377,2269,14754
9343416,-971,2324,15873
9343423,-971,2324,15522
9343433,-814,2166,15544
9343448,-1489,2538,15735
9343458,-1170,2621,16947
9343468,-1387,2262,14661
9343478,-277,1748,14802
9343488,-531,1828,14575
9343498,-983,2458,16525
9343508,273,2033,17621
9343518,108,2164,17977
9343528,-145,2225,17625
9343538,-597,2512,17871
9343548,-675,2080,15416
9343558,-495,2070,15959
9343568,-1337,2468,15723
9343578,-383,1959,15550
9343598,-1163,2305,15349
9343608,68,2016,16910
9343618,-1011,2004,14256
9343628,-1192,2550,16639
9343638,-366,1925,15689
9343648,-568,2434,17534
9343660,-139,1836,15604
9343670,-1272,2381,15396
9343680,-23,2290,18140
9343696,-408,1756,14524
9343706,167,1793,16083
9343716,144,1778,15975
9343726,295,1940,17033
9343736,-126,1933,16068
9343746,-1329,2537,16185
9343758,-1492,2491,15576
9343768,-1364,2126,14039
9343778,-1431,2311,14776
9343788,-721,2536,17636
9343798,132,2103,17542
9343808,256,1852,16675
9343818,218,1926,16886
9343828,-30,2232,18011
9343838,-1126,2564,16797
9343848,-326,1921,15534
9343858,-1244,2551,16395
9343868,-546,1822,14461
9343878,180,2052,17375
9343888,-933,2598,17441
9343898,-1281,2528,16227
9343908,-43,1907,16022
9343918,-749,2568,17769
9343928,52,2134,17454
9343938,251,1845,16518
9343948,-166,1795,15383
9343958,-1251,2434,15866
9343968,-330,2428,18066
9343978,56,1846,16039
9343988,-732,1829,14197
9343998,144,1871,16361
9344008,-48,1767,15483
9344018,-753,1854,14185
9344028,-1447,2436,15224
9344038,-520,2443,17649
9344048,22,2259,18086
9344058,47,1967,16784
9344068,-1189,2218,14930
9344088,-1174,2100,14292
9344098,-731,2505,17443
9344108,-412,2363,17618
9344118,-1441,2221,14152
9344128,-1621,2422,14904
9344138,-1570,2390,14677
9344148,-1590,2393,14713
9344158,-836,1860,13966
9344168,-1225,2089,14055
9344178,-1598,2399,14746
9344188,-1236,2043,13900
9344198,-723,1842,14083
9344208,-585,1782,14268
9344218,172,1823,16234
9344238,-1421,2193,14259
9344248,-726,1949,14559
9344258,50,2203,17900
9344270,-1151,2618,17021
9344280,-1398,2570,16022
9344290,-1553,2471,15123
9344302,187,1799,16221
9344316,187,1799,16221
9344336,95,1837,16149
9344346,232,2022,17468
9344356,-1209,2128,14480
9344366,-846,2527,17211
9344376,9,1880,16308
9344386,-1439,2205,14210
9344426,37,1963,16680
9344436,-1201,2251,15094
9344456,-300,2219,17143
9344466,-679,2027,15318
9344476,-243,2165,16978
9344486,-1377,2445,15495
9344496,-1233,2587,16634
9344506,-117,2354,18191
9344516,-115,2365,18185
9344526,-64,2255,18020
9344536,-260,2418,18232
9344546,-953,2586,17276
9344558,-49,2325,18238
9344568,140,2179,18015
9344578,-356,1827,14964
9344588,-1331,2115,14081
9344598,-1560,2502,15413
9344608,-247,2381,18027
9344618,-304,1796,15011
9344638,46,2014,16824
9344648,-1149,2094,14238
9344658,-70,2243,17734
9344668,-485,1888,14999
9344688,-346,2453,18088
9344710,-794,2351,16549
9344720,-437,1783,14640
9344730,-1089,2381,15812
9344746,-920,2341,16283
9344756,-790,2121,15298
9344766,-160,2147,17047
9344776,-660,2199,16076
9344786,-660,2092,15728
9344796,-638,2351,16838
9344806,-963,2187,15259
9344816,-443,2035,15810
9344826,-1162,2564,16610
9344836,120,2151,17722
9344846,-346,1886,15409
9344856,-1071,2449,16272
9344866,-87,1836,15766
9344876,-1289,2351,15245
9344886,-367,1993,15766
9344896,-504,2135,16129
9344906,-1211,2315,15182
9344916,-104,1817,15637
9344926,-512,2134,16169
9344936,-1146,2378,15798
9344996,23,1806,15851
9345016,-948,1956,14201
9345053,185,2099,17651
9345073,-1002,2477,16626
9345087,-876,2299,16012
9345097,-614,1887,14667
9345107,-456,2264,16985
9345117,-1115,2074,14330
9345127,-471,2387,17456
9345137,-878,2203,15574
9345147,-469,2055,15886
9345157,-567,2095,15918
9345167,-730,2255,16270
9345181,-588,2141,15983
9345191,-333,2089,16437
9345216,154,2065,17571
9345224,154,2080,14489
9345234,-1047,2168,17236
9345244,-101,2217,15694
9345254,-802,2217,15693
9345264,-654,2109,15715
9345276,-715,1990,14940
9345286,-1393,2403,15244
9345296,-1,2231,17700
9345306,-842,1936,14499
9345316,-672,2326,16654
9345326,-972,2019,14486
9345336,-584,2136,15947
9345346,-721,2416,17004
9345356,-67,1905,16135
9345366,-821,2282,16082
9345376,-886,2116,15196
9345386,-1570,2468,15168
9345396,-1124,2573,16781
9345406,-408,2064,16025
9345416,-540,2388,17272
9345426,-640,2144,15823
9345436,-1083,2398,15999
9345446,-645,2197,16227
9345456,-850,2127,15317
9345466,-113,2304,17896
9345476,-39,2254,17984
9345486,-55,2239,17805
9345496,189,1822,16260
9345506,-147,1781,15373
9345518,-904,1875,13943
9345528,-1375,2168,14158
9345548,-890,2011,14748
9345558,-405,2191,16770
9345568,-767,2328,16381
9345578,-816,2027,14888
9345588,-134,2055,16714
9345598,-806,2310,16315
9345608,-592,2099,15712
9345628,-729,2429,17066
9345638,-660,1918,14727
9345648,-485,2166,16387
9345658,-614,2152,16137
9345668,-1153,2240,15093
9345678,-659,2187,16136
9345688,-268,2104,16620
9345698,-602,2256,16561
9345708,-562,2191,16238
9345718,-749,2312,16466
9345729,-495,2092,16085
9345739,-203,1961,16085
9345749,-766,2190,15788
9345759,-729,2433,17100
9345769,135,2211,18050
9345779,-94,2338,18268
9345789,-834,2592,17682
9345799,-1393,2380,15145
9345809,-785,1851,14009
