fold,test_subjects,accuracy,balanced_accuracy,macro_f1
1,yentsen0515workout,0.9810836806668805,0.9800537986794056,0.9821364105120484
2,"haoyu0512workout,thomas0506",0.6924977538185085,0.6858651988157012,0.6885002832270284
3,"yanz0510workout,yoru0511workout",0.9147766323024055,0.9299821212518535,0.9200104883563293
4,"kevin0509workout,yushuan0513workout",0.7621105299067547,0.7718135049341377,0.7447702546048411
5,"hsianshun0514workout,ziho0512workout",0.7534809404245606,0.7584094960610801,0.7507647083848152
