feature
w0.75s_ax_mean
w0.75s_ax_std
w0.75s_ax_min
w0.75s_ax_max
w0.75s_ax_range
w0.75s_ax_rms
w0.75s_ax_median
w0.75s_ax_mean_abs
w0.75s_ax_delta
w0.75s_ax_diff_std
w0.75s_ay_mean
w0.75s_ay_std
w0.75s_ay_min
w0.75s_ay_max
w0.75s_ay_range
w0.75s_ay_rms
w0.75s_ay_median
w0.75s_ay_mean_abs
w0.75s_ay_delta
w0.75s_ay_diff_std
w0.75s_az_mean
w0.75s_az_std
w0.75s_az_min
w0.75s_az_max
w0.75s_az_range
w0.75s_az_rms
w0.75s_az_median
w0.75s_az_mean_abs
w0.75s_az_delta
w0.75s_az_diff_std
w0.75s_gx_mean
w0.75s_gx_std
w0.75s_gx_min
w0.75s_gx_max
w0.75s_gx_range
w0.75s_gx_rms
w0.75s_gx_median
w0.75s_gx_mean_abs
w0.75s_gx_delta
w0.75s_gx_diff_std
w0.75s_gy_mean
w0.75s_gy_std
w0.75s_gy_min
w0.75s_gy_max
w0.75s_gy_range
w0.75s_gy_rms
w0.75s_gy_median
w0.75s_gy_mean_abs
w0.75s_gy_delta
w0.75s_gy_diff_std
w0.75s_gz_mean
w0.75s_gz_std
w0.75s_gz_min
w0.75s_gz_max
w0.75s_gz_range
w0.75s_gz_rms
w0.75s_gz_median
w0.75s_gz_mean_abs
w0.75s_gz_delta
w0.75s_gz_diff_std
w0.75s_mx_mean
w0.75s_mx_std
w0.75s_mx_min
w0.75s_mx_max
w0.75s_mx_range
w0.75s_mx_rms
w0.75s_mx_median
w0.75s_mx_mean_abs
w0.75s_mx_delta
w0.75s_mx_diff_std
w0.75s_my_mean
w0.75s_my_std
w0.75s_my_min
w0.75s_my_max
w0.75s_my_range
w0.75s_my_rms
w0.75s_my_median
w0.75s_my_mean_abs
w0.75s_my_delta
w0.75s_my_diff_std
w0.75s_mz_mean
w0.75s_mz_std
w0.75s_mz_min
w0.75s_mz_max
w0.75s_mz_range
w0.75s_mz_rms
w0.75s_mz_median
w0.75s_mz_mean_abs
w0.75s_mz_delta
w0.75s_mz_diff_std
w0.75s_acc_mag_mean
w0.75s_acc_mag_std
w0.75s_acc_mag_min
w0.75s_acc_mag_max
w0.75s_acc_mag_range
w0.75s_acc_mag_rms
w0.75s_acc_mag_median
w0.75s_acc_mag_mean_abs
w0.75s_acc_mag_delta
w0.75s_acc_mag_diff_std
w0.75s_acc_mag_rms_first
w0.75s_acc_mag_rms_second
w0.75s_acc_mag_rms_ratio
w0.75s_gyro_mag_mean
w0.75s_gyro_mag_std
w0.75s_gyro_mag_min
w0.75s_gyro_mag_max
w0.75s_gyro_mag_range
w0.75s_gyro_mag_rms
w0.75s_gyro_mag_median
w0.75s_gyro_mag_mean_abs
w0.75s_gyro_mag_delta
w0.75s_gyro_mag_diff_std
w0.75s_gyro_mag_rms_first
w0.75s_gyro_mag_rms_second
w0.75s_gyro_mag_rms_ratio
w0.75s_mag_mag_mean
w0.75s_mag_mag_std
w0.75s_mag_mag_min
w0.75s_mag_mag_max
w0.75s_mag_mag_range
w0.75s_mag_mag_rms
w0.75s_mag_mag_median
w0.75s_mag_mag_mean_abs
w0.75s_mag_mag_delta
w0.75s_mag_mag_diff_std
w0.75s_mag_mag_rms_first
w0.75s_mag_mag_rms_second
w0.75s_mag_mag_rms_ratio
w0.75s_acc_corr_xy
w0.75s_acc_corr_xz
w0.75s_acc_corr_yz
w0.75s_gyro_corr_xy
w0.75s_gyro_corr_xz
w0.75s_gyro_corr_yz
w0.75s_mag_corr_xy
w0.75s_mag_corr_xz
w0.75s_mag_corr_yz
w0.75s_acc_jerk_mag_mean
w0.75s_acc_jerk_mag_std
w0.75s_acc_jerk_mag_min
w0.75s_acc_jerk_mag_max
w0.75s_acc_jerk_mag_range
w0.75s_acc_jerk_mag_rms
w0.75s_acc_jerk_mag_median
w0.75s_acc_jerk_mag_mean_abs
w0.75s_acc_jerk_mag_delta
w0.75s_acc_jerk_mag_diff_std
w0.75s_gyro_jerk_mag_mean
w0.75s_gyro_jerk_mag_std
w0.75s_gyro_jerk_mag_min
w0.75s_gyro_jerk_mag_max
w0.75s_gyro_jerk_mag_range
w0.75s_gyro_jerk_mag_rms
w0.75s_gyro_jerk_mag_median
w0.75s_gyro_jerk_mag_mean_abs
w0.75s_gyro_jerk_mag_delta
w0.75s_gyro_jerk_mag_diff_std
w0.75s_mag_jerk_mag_mean
w0.75s_mag_jerk_mag_std
