exercise,feature,cohen_d,abs_cohen_d,stable_subject_ratio,stable_effect_score,mean_subject_diff,sensor_group,family,source,description
db_triceps_curl,axis_ay__min,-3.0666,3.0666,1.0,3.0666,-0.6604,acc,time,ay,min of ay
db_triceps_curl,axis_ay__rms,2.9885,2.9885,1.0,2.9885,0.3964,acc,time,ay,rms of ay
db_triceps_curl,axis_ay__energy_mean,2.8448,2.8448,1.0,2.8448,0.3311,acc,time,ay,energy_mean of ay
db_triceps_curl,axis_ax__abs_mean,-2.738,2.738,1.0,2.738,-0.3727,acc,time,ax,abs_mean of ax
db_triceps_curl,axis_ax__rms,-2.5981,2.5981,1.0,2.5981,-0.3233,acc,time,ax,rms of ax
db_triceps_curl,corr__ax__ay,2.5473,2.5473,1.0,2.5473,0.8184,acc,axis_correlation,"ax,ay",Correlation between ax and ay
db_triceps_curl,axis_ax__energy_mean,-2.3959,2.3959,1.0,2.3959,-0.4808,acc,time,ax,energy_mean of ax
db_weighted_crunch,corr__ax__az,-2.1898,2.1898,1.0,2.1898,-0.7679,acc,axis_correlation,"ax,az",Correlation between ax and az
db_weighted_crunch,acc_norm__spectral_entropy,1.7927,1.7927,1.0,1.7927,0.2187,acc,time_frequency,acc_norm,spectral_entropy of acc_norm
db_weighted_crunch,acc_norm__rms,-1.4136,1.4136,1.0,1.4136,-0.0685,acc,time,acc_norm,rms of acc_norm
db_weighted_crunch,acc_norm__energy_mean,-1.3996,1.3996,1.0,1.3996,-0.1372,acc,time,acc_norm,energy_mean of acc_norm
db_weighted_crunch,axis_ax__min,1.3824,1.3824,1.0,1.3824,0.8378,acc,time,ax,min of ax
db_weighted_crunch,acc_norm__mean,-1.3351,1.3351,1.0,1.3351,-0.0651,acc,time,acc_norm,mean of acc_norm
db_weighted_crunch,acc_norm__abs_mean,-1.3351,1.3351,1.0,1.3351,-0.0651,acc,time,acc_norm,abs_mean of acc_norm
db_weighted_crunch,axis_my__spectral_entropy,1.3283,1.3283,1.0,1.3283,0.2653,mag,time_frequency,my,spectral_entropy of my
db_weighted_crunch,axis_ax__mean,1.2463,1.2463,1.0,1.2463,0.7125,acc,time,ax,mean of ax
db_weighted_crunch,axis_ax__median,1.2242,1.2242,1.0,1.2242,0.7109,acc,time,ax,median of ax
one_arm_db_row,axis_ax__max,-3.1426,3.1426,1.0,3.1426,-1.4992,acc,time,ax,max of ax
one_arm_db_row,axis_ax__median,-3.1188,3.1188,1.0,3.1188,-1.485,acc,time,ax,median of ax
one_arm_db_row,axis_ax__mean,-3.093,3.093,1.0,3.093,-1.457,acc,time,ax,mean of ax
one_arm_db_row,acc_norm__median,2.9625,2.9625,1.0,2.9625,0.1348,acc,time,acc_norm,median of acc_norm
one_arm_db_row,acc_norm__energy_mean,2.7971,2.7971,1.0,2.7971,0.2376,acc,time,acc_norm,energy_mean of acc_norm
one_arm_db_row,acc_norm__mean,2.7927,2.7927,1.0,2.7927,0.1171,acc,time,acc_norm,mean of acc_norm
one_arm_db_row,acc_norm__abs_mean,2.7927,2.7927,1.0,2.7927,0.1171,acc,time,acc_norm,abs_mean of acc_norm
one_arm_db_row,acc_norm__rms,2.7549,2.7549,1.0,2.7549,0.1161,acc,time,acc_norm,rms of acc_norm
one_arm_db_row,axis_ax__energy_mean,2.4955,2.4955,1.0,2.4955,0.4822,acc,time,ax,energy_mean of ax
one_arm_db_row,axis_mx__median,2.4627,2.4627,1.0,2.4627,42.2035,mag,time,mx,median of mx
