feature,anova_f,mutual_info,rf_importance,fold_rf_importance_mean,fold_rf_importance_std,fold_rank_mean,fold_rank_std,top20_fold_count,anova_f_norm,mutual_info_norm,rf_importance_norm,fold_rf_importance_mean_norm,top20_fold_ratio,composite_score,anova_rank,mutual_info_rank,rf_rank,composite_rank,sensor_group,family,source,description
axis_az__max,612.0551433642914,0.6848481334940839,0.012878351309640025,0.008035812791342918,0.0027537499449606186,33.8,16.39207125411551,1,0.042297943888034935,0.5171616826096476,0.4835506629936148,0.2853611840859589,0.2,0.30567429471545127,60.0,46.0,18.0,24.0,acc,time,az,max of az
axis_ay__min,788.4872116267524,0.6624966970221315,0.009711417201079476,0.009035878198607022,0.0023407648200569715,29.2,9.093954035511725,1,0.05449082193885095,0.5002830405731976,0.364640015890422,0.3208746854815781,0.2,0.2880577127768097,43.0,56.0,22.0,25.0,acc,time,ay,min of ay
corr__ax__az,535.1668765408036,0.6042489411320169,0.008070921969177528,0.008551078126401181,0.0023065400368989697,30.6,15.175638372075161,1,0.036984344891265376,0.45629736554378914,0.3030434234422677,0.3036588634805161,0.2,0.2599967994715677,69.0,83.0,30.0,26.0,acc,axis_correlation,"ax,az",Correlation between ax and az
corr__ay__az,537.5595467835064,0.6357582099029981,0.008401267491069698,0.007258238578811552,0.0021350774937861122,39.0,15.811388300841896,1,0.03714969769119795,0.4800915261152161,0.31544709160500517,0.2577486072671333,0.2,0.25808738453571045,67.0,68.0,28.0,27.0,acc,axis_correlation,"ay,az",Correlation between ay and az
axis_my__mean,85.68186394372167,0.822100703006968,0.005104208588929867,0.006521827552615227,0.002482387029398892,45.2,19.94241710525582,1,0.005921307438726482,0.6208076828252471,0.19165057606304187,0.23159778371438336,0.2,0.24999547000827976,207.0,30.0,56.0,28.0,mag,time,my,mean of my
axis_mx__max,833.0598601328567,0.9561249533808645,0.006254728007743065,0.006317714522693705,0.0016986345599667289,47.8,17.51285242329187,0,0.05757115122926289,0.7220158243736969,0.23484977248018796,0.22434948943249972,0.0,0.2477572475031295,41.0,18.0,38.0,29.0,mag,time,mx,max of mx
axis_gy__haar_l2_energy_ratio,120.35918501692201,0.6690060179725852,0.007806027166078018,0.006421811818954161,0.0037869744373729246,55.2,35.70294105532484,1,0.00831778984205886,0.5051985411210456,0.2930972700424571,0.22804610712287604,0.2,0.24693194162568752,173.0,54.0,31.0,30.0,gyro,wavelet,gy,haar_l2_energy_ratio of gy
axis_ax__iqr,1981.479142876973,0.7045350343405534,0.00910232403517417,0.005808454073487972,0.003031584414926484,62.0,37.82856063875548,0,0.13693618052129836,0.5320282059586776,0.3417700539584219,0.20626505061256434,0.0,0.24339989821019242,14.0,44.0,24.0,31.0,acc,time,ax,iqr of ax
axis_mx__mean,960.4978827582331,0.9556935931584793,0.0050250187886914845,0.006272860056790607,0.0023567026164963024,55.6,43.39700450491946,0,0.06637814580916464,0.7216900835743735,0.18867719232106098,0.22275665447802684,0.0,0.23990041523652517,35.0,19.0,59.0,32.0,mag,time,mx,mean of mx
axis_ax__range,1211.0624522274052,0.5738130323199551,0.006860339019418133,0.00576446986715025,0.004110409715948578,65.6,34.31180554852804,1,0.0836941772397323,0.43331375057401034,0.2575889880187877,0.20470311960103862,0.2,0.23586000708671379,27.0,100.0,33.0,33.0,acc,time,ax,range of ax
axis_mx__median,992.7000096258084,0.9143530216879325,0.005409276609115719,0.005940333507756096,0.0017404475774855461,52.4,26.082561223928913,0,0.06860357234154062,0.6904718346573863,0.20310513572461872,0.21094824477058166,0.0,0.23462575749882544,33.0,23.0,52.0,34.0,mag,time,mx,median of mx
axis_ax__std,2028.5384008852614,0.683991059675789,0.00844010294674303,0.005605640794204408,0.003206394817813791,61.0,35.46124645299429,0,0.1401883545716721,0.5165144650495607,0.3169052681904227,0.19906291200785922,0.0,0.23453419996390296,13.0,47.0,27.0,35.0,acc,time,ax,std of ax
axis_mz__min,106.84297515168217,0.7961309600924262,0.0036959640149155587,0.006047040480224416,0.00403629464394254,66.0,49.26966612430005,1,0.007383710792716499,0.6011966839982489,0.1387744290276638,0.21473753513914176,0.2,0.2324184717915542,185.0,37.0,82.0,36.0,mag,time,mz,min of mz
axis_my__min,105.26079368820864,0.8718409994429437,0.006120622790338202,0.00604475854077115,0.0012085721152774384,48.8,11.189280584559492,0,0.007274369300388152,0.6583689670578396,0.22981444884070285,0.21465650077941925,0.0,0.22202285719567,188.0,24.0,41.0,37.0,mag,time,my,min of my
axis_gz__range,476.58692319044434,0.4761759762633244,0.0061561720654777,0.00728554645289428,0.0027682350897733276,44.8,25.21309183737687,1,0.03293599792998117,0.3595833252055724,0.2311492373667605,0.2587183420637817,0.2,0.21647738051321913,77.0,138.0,40.0,38.0,gyro,time,gz,range of gz
corr__az__mx,190.4858845151725,0.46635517922468717,0.005676181622194447,0.007968213392824384,0.0024529274783544864,35.4,12.461942063739505,1,0.013164110034918694,0.35216717018861,0.2131267676033771,0.28296064976471025,0.2,0.2122837395183232,131.0,144.0,48.0,39.0,acc_mag,axis_correlation,"az,mx",Correlation between az and mx
