feature,sensor_group,family,source,description
axis_gx__low_band_ratio,gyro,time_frequency,gx,low_band_ratio of gx
axis_gx__max,gyro,time,gx,max of gx
axis_gx__mean,gyro,time,gx,mean of gx
axis_gx__median,gyro,time,gx,median of gx
axis_gx__mid_band_ratio,gyro,time_frequency,gx,mid_band_ratio of gx
axis_gx__min,gyro,time,gx,min of gx
axis_gx__range,gyro,time,gx,range of gx
axis_gx__rms,gyro,time,gx,rms of gx
axis_gx__skewness,gyro,time,gx,skewness of gx
axis_gx__slope,gyro,time,gx,slope of gx
axis_gx__spectral_entropy,gyro,time_frequency,gx,spectral_entropy of gx
axis_gx__std,gyro,time,gx,std of gx
axis_gx__zero_crossing_rate,gyro,time,gx,zero_crossing_rate of gx
axis_gy__abs_mean,gyro,time,gy,abs_mean of gy
axis_gy__diff_abs_mean,gyro,time,gy,diff_abs_mean of gy
axis_gy__diff_rms,gyro,time,gy,diff_rms of gy
axis_gy__dominant_freq_ratio,gyro,time_frequency,gy,dominant_freq_ratio of gy
axis_gy__energy_mean,gyro,time,gy,energy_mean of gy
axis_gy__haar_l1_energy_ratio,gyro,wavelet,gy,haar_l1_energy_ratio of gy
axis_gy__haar_l2_energy_ratio,gyro,wavelet,gy,haar_l2_energy_ratio of gy
axis_gy__haar_l3_energy_ratio,gyro,wavelet,gy,haar_l3_energy_ratio of gy
axis_gy__haar_l4_energy_ratio,gyro,wavelet,gy,haar_l4_energy_ratio of gy
axis_gy__high_band_ratio,gyro,time_frequency,gy,high_band_ratio of gy
axis_gy__iqr,gyro,time,gy,iqr of gy
axis_gy__kurtosis,gyro,time,gy,kurtosis of gy
axis_gy__low_band_ratio,gyro,time_frequency,gy,low_band_ratio of gy
axis_gy__max,gyro,time,gy,max of gy
axis_gy__mean,gyro,time,gy,mean of gy
axis_gy__median,gyro,time,gy,median of gy
axis_gy__mid_band_ratio,gyro,time_frequency,gy,mid_band_ratio of gy
axis_gy__min,gyro,time,gy,min of gy
axis_gy__range,gyro,time,gy,range of gy
axis_gy__rms,gyro,time,gy,rms of gy
axis_gy__skewness,gyro,time,gy,skewness of gy
axis_gy__slope,gyro,time,gy,slope of gy
axis_gy__spectral_entropy,gyro,time_frequency,gy,spectral_entropy of gy
axis_gy__std,gyro,time,gy,std of gy
axis_gy__zero_crossing_rate,gyro,time,gy,zero_crossing_rate of gy
axis_gz__abs_mean,gyro,time,gz,abs_mean of gz
axis_gz__diff_abs_mean,gyro,time,gz,diff_abs_mean of gz
axis_gz__diff_rms,gyro,time,gz,diff_rms of gz
axis_gz__dominant_freq_ratio,gyro,time_frequency,gz,dominant_freq_ratio of gz
axis_gz__energy_mean,gyro,time,gz,energy_mean of gz
axis_gz__haar_l1_energy_ratio,gyro,wavelet,gz,haar_l1_energy_ratio of gz
axis_gz__haar_l2_energy_ratio,gyro,wavelet,gz,haar_l2_energy_ratio of gz
axis_gz__haar_l3_energy_ratio,gyro,wavelet,gz,haar_l3_energy_ratio of gz
axis_gz__haar_l4_energy_ratio,gyro,wavelet,gz,haar_l4_energy_ratio of gz
axis_gz__high_band_ratio,gyro,time_frequency,gz,high_band_ratio of gz
axis_gz__iqr,gyro,time,gz,iqr of gz
axis_gz__kurtosis,gyro,time,gz,kurtosis of gz
axis_gz__low_band_ratio,gyro,time_frequency,gz,low_band_ratio of gz
axis_gz__max,gyro,time,gz,max of gz
axis_gz__mean,gyro,time,gz,mean of gz
axis_gz__median,gyro,time,gz,median of gz
axis_gz__mid_band_ratio,gyro,time_frequency,gz,mid_band_ratio of gz
axis_gz__min,gyro,time,gz,min of gz
axis_gz__range,gyro,time,gz,range of gz
axis_gz__rms,gyro,time,gz,rms of gz
axis_gz__skewness,gyro,time,gz,skewness of gz
axis_gz__slope,gyro,time,gz,slope of gz
axis_gz__spectral_entropy,gyro,time_frequency,gz,spectral_entropy of gz
