exercise,feature,cohen_d,abs_cohen_d,stable_subject_ratio,stable_effect_score,mean_subject_diff,sensor_group,family,source,description
db_bench_press,axis_my__slope,0.1385,0.1385,0.625,0.0865,0.6377,mag,time,my,slope of my
db_bench_press,axis_gz__haar_l2_energy_ratio,-0.1374,0.1374,0.625,0.0859,-0.0053,gyro,wavelet,gz,haar_l2_energy_ratio of gz
db_bench_press,corr__ax__my,0.1682,0.1682,0.5,0.0841,0.0791,acc_mag,axis_correlation,"ax,my",Correlation between ax and my
db_bench_press,axis_gx__mid_band_ratio,0.1667,0.1667,0.5,0.0833,0.0032,gyro,time_frequency,gx,mid_band_ratio of gx
db_bench_press,axis_mx__low_band_ratio,-0.1662,0.1662,0.5,0.0831,-0.0019,mag,time_frequency,mx,low_band_ratio of mx
db_bench_press,axis_gz__haar_l1_energy_ratio,-0.1325,0.1325,0.625,0.0828,-0.0024,gyro,wavelet,gz,haar_l1_energy_ratio of gz
db_bench_press,axis_gz__haar_l4_energy_ratio,-0.1297,0.1297,0.625,0.081,-0.0042,gyro,wavelet,gz,haar_l4_energy_ratio of gz
db_bench_press,all9_norm__dominant_freq_ratio,0.1284,0.1284,0.625,0.0802,0.0009,all9,time_frequency,all9_norm,dominant_freq_ratio of all9_norm
db_bench_press,axis_mx__mid_band_ratio,0.1576,0.1576,0.5,0.0788,0.0013,mag,time_frequency,mx,mid_band_ratio of mx
db_bench_press,axis_gy__diff_rms,-0.1571,0.1571,0.5,0.0785,-0.132,gyro,time,gy,diff_rms of gy
db_bench_press,gyro_norm__high_band_ratio,-0.157,0.157,0.5,0.0785,-0.0009,gyro,time_frequency,gyro_norm,high_band_ratio of gyro_norm
db_bench_press,gyro_norm__slope,-0.125,0.125,0.625,0.0781,-0.8426,gyro,time,gyro_norm,slope of gyro_norm
db_bench_press,axis_gx__haar_l2_energy_ratio,0.1553,0.1553,0.5,0.0776,0.0064,gyro,wavelet,gx,haar_l2_energy_ratio of gx
db_bench_press,all9_pca__pca3_var_ratio,0.1025,0.1025,0.75,0.0768,0.003,all9,pca,all9_pca,PCA variance ratio
db_bench_press,axis_az__diff_rms,0.1198,0.1198,0.625,0.0749,0.001,acc,time,az,diff_rms of az
db_bench_press,axis_mz__skewness,0.1496,0.1496,0.5,0.0748,0.0513,mag,time,mz,skewness of mz
db_bench_press,axis_ay__zero_crossing_rate,-0.1485,0.1485,0.5,0.0743,-0.011,acc,time,ay,zero_crossing_rate of ay
db_bench_press,corr__gz__mz,-0.1162,0.1162,0.625,0.0726,-0.0119,gyro_mag,axis_correlation,"gz,mz",Correlation between gz and mz
db_bench_press,corr__ay__gx,-0.1155,0.1155,0.625,0.0722,-0.0132,acc_gyro,axis_correlation,"ay,gx",Correlation between ay and gx
db_bench_press,axis_gx__slope,0.1918,0.1918,0.375,0.0719,1.6019,gyro,time,gx,slope of gx
db_bench_press,axis_gx__dominant_freq_ratio,-0.082,0.082,0.875,0.0718,-0.0031,gyro,time_frequency,gx,dominant_freq_ratio of gx
db_bench_press,all9_norm__low_band_ratio,-0.1742,0.1742,0.375,0.0653,-0.0054,all9,time_frequency,all9_norm,low_band_ratio of all9_norm
db_bench_press,gyro_norm__dominant_freq_ratio,0.1033,0.1033,0.625,0.0645,0.0005,gyro,time_frequency,gyro_norm,dominant_freq_ratio of gyro_norm
db_bench_press,axis_ay__haar_l1_energy_ratio,0.1661,0.1661,0.375,0.0623,0.0056,acc,wavelet,ay,haar_l1_energy_ratio of ay
db_bench_press,axis_az__min,0.0984,0.0984,0.625,0.0615,0.0474,acc,time,az,min of az
db_bench_press,mag_pca__dominant_axis_var_share,-0.0984,0.0984,0.625,0.0615,-0.005,mag,pca,mag_pca,Dominant axis variance share
db_bench_press,corr__gx__gz,0.1228,0.1228,0.5,0.0614,0.0478,gyro,axis_correlation,"gx,gz",Correlation between gx and gz
db_bench_press,axis_gz__dominant_freq_ratio,0.0798,0.0798,0.75,0.0598,0.0005,gyro,time_frequency,gz,dominant_freq_ratio of gz
db_bench_press,axis_gx__spectral_entropy,0.1575,0.1575,0.375,0.0591,0.0114,gyro,time_frequency,gx,spectral_entropy of gx
db_bench_press,axis_gz__zero_crossing_rate,-0.0788,0.0788,0.75,0.0591,-0.0042,gyro,time,gz,zero_crossing_rate of gz
db_bench_press,axis_mz__slope,-0.1162,0.1162,0.5,0.0581,-0.3813,mag,time,mz,slope of mz
db_bench_press,corr__gy__mz,0.0923,0.0923,0.625,0.0577,0.0113,gyro_mag,axis_correlation,"gy,mz",Correlation between gy and mz
db_bench_press,axis_az__dominant_freq_ratio,-0.0904,0.0904,0.625,0.0565,-0.0018,acc,time_frequency,az,dominant_freq_ratio of az
db_bench_press,gyro_norm__diff_abs_mean,-0.1118,0.1118,0.5,0.0559,-0.1077,gyro,time,gyro_norm,diff_abs_mean of gyro_norm
db_bench_press,axis_gz__min,-0.1089,0.1089,0.5,0.0545,-3.4498,gyro,time,gz,min of gz
db_bench_press,acc_pca__dominant_axis_var_share,0.109,0.109,0.5,0.0545,0.0071,acc,pca,acc_pca,Dominant axis variance share
