fold,feature,fold_rf_importance,fold_rank,is_top_20
1,axis_gx__low_band_ratio,0.0005305056411725836,241.0,False
1,axis_gx__mid_band_ratio,0.0002558517891844524,283.0,False
1,axis_gx__high_band_ratio,0.003459415789616164,75.0,False
1,axis_gx__haar_l1_energy_ratio,0.0001515687861092401,320.0,False
1,axis_gx__haar_l2_energy_ratio,0.0003253567322734433,265.0,False
1,axis_gx__haar_l3_energy_ratio,0.00017399933425819717,309.0,False
1,axis_gx__haar_l4_energy_ratio,0.00020283753816988,305.0,False
1,axis_gy__mean,9.300389565346199e-05,349.0,False
1,axis_gy__std,0.007094545715753941,43.0,False
1,axis_gy__median,0.00013382445187545372,331.0,False
1,axis_gy__min,0.0007136543718957578,212.0,False
1,axis_gy__max,0.0011123086740135852,181.0,False
1,axis_gy__range,0.0027763673416508006,105.0,False
1,axis_gy__iqr,0.005192924841456326,53.0,False
1,axis_gy__rms,0.003801943401818886,67.0,False
1,axis_gy__energy_mean,0.007099264271791075,42.0,False
1,axis_gy__abs_mean,0.0068849284982544475,44.0,False
1,axis_gy__diff_abs_mean,0.0015776320702463591,149.0,False
1,axis_gy__diff_rms,0.0038060746258367535,66.0,False
1,axis_gy__slope,0.0027002847649742743,107.0,False
1,axis_gy__zero_crossing_rate,0.0011274324463942105,177.0,False
1,axis_gy__skewness,0.00017957647000874563,307.0,False
1,axis_gy__kurtosis,0.0003653761937297464,260.0,False
1,axis_gy__dominant_freq_ratio,0.0005532379071928978,236.0,False
1,axis_gy__spectral_entropy,0.0025098757186730616,118.0,False
1,axis_gy__low_band_ratio,0.00021773459249571086,298.0,False
1,axis_gy__mid_band_ratio,0.0005081188991192426,244.0,False
1,axis_gy__high_band_ratio,0.0002025051294437572,306.0,False
1,axis_gy__haar_l1_energy_ratio,0.007279763857032913,38.0,False
1,axis_gy__haar_l2_energy_ratio,0.012676559972771522,14.0,True
1,axis_gy__haar_l3_energy_ratio,0.005205079303232352,52.0,False
1,axis_gy__haar_l4_energy_ratio,0.0032617656456697844,86.0,False
1,axis_gz__mean,0.00014169644908888326,329.0,False
1,axis_gz__std,0.012149551079209215,18.0,True
1,axis_gz__median,0.0014454495260880292,154.0,False
1,axis_gz__min,0.0057161299573310915,48.0,False
1,axis_gz__max,0.0011286420372059612,176.0,False
1,axis_gz__range,0.007709098593179544,33.0,False
1,axis_gz__iqr,0.008398978022488275,27.0,False
1,axis_gz__rms,0.012481113045403832,15.0,True
1,axis_gz__energy_mean,0.01023402670523977,23.0,False
1,axis_gz__abs_mean,0.010559252787248589,22.0,False
1,axis_gz__diff_abs_mean,0.001124644172056478,178.0,False
1,axis_gz__diff_rms,0.0016027531681149737,148.0,False
1,axis_gz__slope,0.003204132222533101,88.0,False
1,axis_gz__zero_crossing_rate,0.0012971217621851711,169.0,False
1,axis_gz__skewness,0.00021014677352056268,302.0,False
1,axis_gz__kurtosis,0.00022639773313115185,295.0,False
1,axis_gz__dominant_freq_ratio,0.00032313250711798336,266.0,False
1,axis_gz__spectral_entropy,0.005824845686648275,47.0,False
1,axis_gz__low_band_ratio,0.0004633187359016124,251.0,False
1,axis_gz__mid_band_ratio,0.0005450178717896524,239.0,False
1,axis_gz__high_band_ratio,0.0014278309841860037,157.0,False
1,axis_gz__haar_l1_energy_ratio,0.0011912370879397262,172.0,False
1,axis_gz__haar_l2_energy_ratio,0.0015178326392718381,151.0,False
1,axis_gz__haar_l3_energy_ratio,0.007252324445194403,39.0,False
1,axis_gz__haar_l4_energy_ratio,0.0013273139210398417,164.0,False
1,axis_mx__mean,0.0021376256256526605,133.0,False
1,axis_mx__std,0.004261872997165454,62.0,False
1,axis_mx__median,0.005688703925965741,50.0,False
1,axis_mx__min,0.007129806378955973,41.0,False
1,axis_mx__max,0.005025870756635382,56.0,False
1,axis_mx__range,0.0023116862301684913,121.0,False
1,axis_mx__iqr,0.0029926840006612374,95.0,False
1,axis_mx__rms,0.0034155279469807454,80.0,False
1,axis_mx__energy_mean,0.00315175790301516,91.0,False
1,axis_mx__abs_mean,0.003497760351916948,74.0,False
1,axis_mx__diff_abs_mean,0.0009281971014171242,191.0,False
1,axis_mx__diff_rms,0.000953436179903759,190.0,False
1,axis_mx__slope,0.00017229828237415193,311.0,False
1,axis_mx__zero_crossing_rate,0.00023849114202489886,289.0,False
1,axis_mx__skewness,0.00014648927010426868,324.0,False
1,axis_mx__kurtosis,7.50708224638634e-05,360.0,False
1,axis_mx__dominant_freq_ratio,0.00024216262573626906,288.0,False
1,axis_mx__spectral_entropy,0.0002119631942488609,301.0,False
1,axis_mx__low_band_ratio,0.0009574285347784691,189.0,False
1,axis_mx__mid_band_ratio,0.0005241036247643998,242.0,False
1,axis_mx__high_band_ratio,0.00041241494423725365,258.0,False
1,axis_mx__haar_l1_energy_ratio,0.0013090898902451149,168.0,False
1,axis_mx__haar_l2_energy_ratio,0.0012743925783058447,170.0,False
1,axis_mx__haar_l3_energy_ratio,0.002241137893948425,125.0,False
1,axis_mx__haar_l4_energy_ratio,0.0023024032517907976,122.0,False
1,axis_my__mean,0.004343169425028614,60.0,False
1,axis_my__std,0.00279953941155849,104.0,False
1,axis_my__median,0.0029196960957713534,100.0,False
1,axis_my__min,0.007385829580552381,36.0,False
1,axis_my__max,0.002501650438901023,119.0,False
1,axis_my__range,0.0017366604621484032,144.0,False
1,axis_my__iqr,0.0021469948995239303,132.0,False
1,axis_my__rms,0.008104356960679935,31.0,False
1,axis_my__energy_mean,0.0071302755109912104,40.0,False
1,axis_my__abs_mean,0.004284081892665237,61.0,False
1,axis_my__diff_abs_mean,0.00010213188029838805,339.0,False
1,axis_my__diff_rms,9.951437135714879e-05,341.0,False
1,axis_my__slope,0.0006039777162025749,229.0,False
1,axis_my__zero_crossing_rate,0.0014969041371356016,152.0,False
1,axis_my__skewness,0.00026550787285201544,279.0,False
1,axis_my__kurtosis,0.0007194322630453441,211.0,False
1,axis_my__dominant_freq_ratio,0.00023594681824171053,291.0,False
1,axis_my__spectral_entropy,0.0013336622092174199,162.0,False
1,axis_my__low_band_ratio,0.0030026016285372085,94.0,False
1,axis_my__mid_band_ratio,0.0019262792349949247,139.0,False
1,axis_my__high_band_ratio,0.0017542420487638983,143.0,False
1,axis_my__haar_l1_energy_ratio,0.003908372321157901,65.0,False
1,axis_my__haar_l2_energy_ratio,0.005345935034569713,51.0,False
1,axis_my__haar_l3_energy_ratio,0.0033922333507076193,81.0,False
1,axis_my__haar_l4_energy_ratio,0.0029552112143964014,97.0,False
1,axis_mz__mean,0.003265312068577506,85.0,False
1,axis_mz__std,0.0003427714908903868,262.0,False
1,axis_mz__median,0.0037061939345748875,69.0,False
1,axis_mz__min,0.0019725509359495032,138.0,False
1,axis_mz__max,0.0028360677485313067,102.0,False
1,axis_mz__range,0.0010654178884978453,183.0,False
1,axis_mz__iqr,8.523654126636076e-05,355.0,False
1,axis_mz__rms,0.0031288175581686522,92.0,False
1,axis_mz__energy_mean,0.004257075693148656,63.0,False
1,axis_mz__abs_mean,0.002523906274489849,116.0,False
1,axis_mz__diff_abs_mean,0.00017816059368680164,308.0,False
1,axis_mz__diff_rms,0.00014232609685592193,327.0,False
1,axis_mz__slope,8.787899392692072e-05,352.0,False
1,axis_mz__zero_crossing_rate,9.330045785259249e-05,347.0,False
1,axis_mz__skewness,8.938126596028528e-05,350.0,False
1,axis_mz__kurtosis,0.00014183436484969456,328.0,False
1,axis_mz__dominant_freq_ratio,6.57238125212048e-05,365.0,False
1,axis_mz__spectral_entropy,0.0002598278785878108,281.0,False
1,axis_mz__low_band_ratio,0.0002885218287796997,273.0,False
1,axis_mz__mid_band_ratio,0.0004875659563681603,248.0,False
1,axis_mz__high_band_ratio,9.320445055102055e-05,348.0,False
1,axis_mz__haar_l1_energy_ratio,0.0025012803609578164,120.0,False
1,axis_mz__haar_l2_energy_ratio,0.002223465802314075,128.0,False
1,axis_mz__haar_l3_energy_ratio,0.0015270784758586087,150.0,False
1,axis_mz__haar_l4_energy_ratio,0.0014335474847051736,155.0,False
1,acc_norm__mean,0.010771620273404926,20.0,True
1,acc_norm__std,0.0008416928558268192,200.0,False
1,acc_norm__median,0.018092677635129933,10.0,True
1,acc_norm__min,0.0014619410271850984,153.0,False
1,acc_norm__max,0.00011716310623290834,335.0,False
1,acc_norm__range,0.0002288678990124611,293.0,False
1,acc_norm__iqr,0.0007745588308176679,208.0,False
1,acc_norm__rms,0.009889963340118303,24.0,False
1,acc_norm__energy_mean,0.01888705085699835,8.0,True
1,acc_norm__abs_mean,0.015220632708004205,12.0,True
1,acc_norm__diff_abs_mean,0.0030145616870207005,93.0,False
1,acc_norm__diff_rms,0.001014158965329904,186.0,False
1,acc_norm__slope,0.0002598345152210854,280.0,False
1,acc_norm__zero_crossing_rate,0.000508057708676686,245.0,False
1,acc_norm__skewness,0.0025830856675354355,113.0,False
1,acc_norm__kurtosis,4.7991220279332476e-05,373.0,False
1,acc_norm__dominant_freq_ratio,0.005086167972882106,55.0,False
1,acc_norm__spectral_entropy,0.004165442102414522,64.0,False
