level,feature,group,n,raw_spearman,raw_pearson,exercise_centered_spearman,subject_centered_spearman,subject_exercise_centered_spearman,abs_raw_spearman,abs_subject_exercise_centered_spearman
rep,rep_progress,progress,1945,0.5703888229831204,0.5820811504578193,0.5893034691282045,0.5965961742721514,0.6532598976112511,0.5703888229831204,0.6532598976112511
rep,rep_order,other,1945,0.5461577764800839,0.5557882633409552,0.5680398521150227,0.5697276745695617,0.6385730885121637,0.5461577764800839,0.6385730885121637
rep,rep_index,progress,1945,0.5461303399197064,0.5557579963948538,0.5680180671437398,0.5696775363610562,0.6385591834746266,0.5461303399197064,0.6385591834746266
rep,set_index_numeric,progress,1945,0.4974224144819298,0.47793100182537673,0.5058824737973275,0.5130947885133199,0.5935005217186854,0.4974224144819298,0.5935005217186854
rep,cumulative_tut_sec,tut,1945,0.4806108349737731,0.48069496827706837,0.5068954199614117,0.5387610184681689,0.6106766375376629,0.4806108349737731,0.6106766375376629
rep,cumulative_eccentric_sec,tut,1945,0.4796924802985717,0.46997342031951544,0.49400789900021924,0.5516167090311562,0.6090937602673776,0.4796924802985717,0.6090937602673776
rep,cumulative_concentric_sec,tut,1945,0.45680433736033815,0.4480326786630869,0.5023422416833895,0.4927330103688046,0.600173965609951,0.45680433736033815,0.600173965609951
rep,kg_x_rep,load,1945,0.3056291667842354,0.2893138436744785,0.3663066522969925,0.42319107613811763,0.5920017168843865,0.3056291667842354,0.5920017168843865
rep,kg_x_cumulative_tut,load,1945,0.28275557320714934,0.2685466088894137,0.34296072537107297,0.4034785939550836,0.5650047887059918,0.28275557320714934,0.5650047887059918
rep,my_diff_abs_mean,waveform_intensity,1945,-0.17011160889097557,-0.1607130070045334,-0.06556257943441833,-0.1797499332787773,-0.10414153214630259,0.17011160889097557,0.10414153214630259
rep,my_diff_rms,waveform_intensity,1945,-0.168042387975249,-0.15896359225115037,-0.06186814064435023,-0.18062403529268575,-0.10371701023605066,0.168042387975249,0.10371701023605066
rep,pca_diff_rms,waveform_intensity,1945,-0.16524312583579906,-0.14780533873469134,-0.13462616849537762,-0.14905854059970647,-0.1014418919059409,0.16524312583579906,0.1014418919059409
rep,pca_diff_abs_mean,waveform_intensity,1945,-0.16306984401568525,-0.14367365806574267,-0.12448158025570304,-0.16221743214906903,-0.11458105651979873,0.16306984401568525,0.11458105651979873
rep,n_reps,progress,1945,-0.16193081178508653,-0.18342857573939084,-0.11035003020497135,-0.12813826810881437,-0.08529753129476268,0.16193081178508653,0.08529753129476268
rep,my_range,waveform_intensity,1945,-0.1458682837799165,-0.14176802060932647,-0.07360666808830298,-0.1404340229151105,-0.0818829484497394,0.1458682837799165,0.0818829484497394
rep,kg,load,1945,-0.14139770760014178,-0.13220575450342525,-0.09112275922122437,-0.08136856236246268,0.049827795983189975,0.14139770760014178,0.049827795983189975
rep,pca_range,waveform_intensity,1945,-0.1409939409700943,-0.13230948273231535,-0.1394204646724206,-0.06844627684101083,-0.021725080229622783,0.1409939409700943,0.021725080229622783
rep,gz_diff_rms,waveform_intensity,1945,-0.13726068650652892,-0.1051319764750229,-0.04948274563722771,-0.16684928236595664,-0.06787212627916611,0.13726068650652892,0.06787212627916611
rep,gz_diff_abs_mean,waveform_intensity,1945,-0.13457887734852078,-0.10230656085080259,-0.037911970060267516,-0.17190908285511747,-0.07189878616138198,0.13457887734852078,0.07189878616138198
rep,mx_diff_rms,waveform_intensity,1945,-0.13183517494402947,-0.10806147692979534,-0.047653101035713186,-0.10857428839893038,0.0005837949940992788,0.13183517494402947,0.0005837949940992788
rep,mx_diff_abs_mean,waveform_intensity,1945,-0.13033463695484188,-0.10721554499421132,-0.04263204814159698,-0.10628679314549953,0.005048087061604889,0.13033463695484188,0.005048087061604889
rep,gyro_diff_change_from_first2,fatigue_drift,1945,0.12634957947436104,0.1292026578594529,0.08963404298027161,0.1555629692406796,0.1233688795043851,0.12634957947436104,0.1233688795043851
rep,movement_rate_cv_so_far,variability,1945,0.1102591579183066,0.10665611990155062,0.14987380813883028,0.1476517954352283,0.17732905771455337,0.1102591579183066,0.17732905771455337
rep,movement_rate_change_from_first2,fatigue_drift,1945,-0.10025731474159491,-0.06863579554699664,-0.1046388027977165,-0.15370807352572696,-0.13437295954132386,0.10025731474159491,0.13437295954132386
rep,velocity_loss_proxy,fatigue_drift,1945,0.10025731474159491,0.06863579554699664,0.1046388027977165,0.15370807352572696,0.13437295954132386,0.10025731474159491,0.13437295954132386
rep,gz_range,waveform_intensity,1945,-0.09796517679575337,-0.08362952194689593,-0.01298936811751963,-0.0604325773034402,0.0997626758196341,0.09796517679575337,0.0997626758196341
rep,ax_range,waveform_intensity,1945,-0.09685312109494808,-0.08589500126302121,-0.09080068596912785,-0.05827258695218925,-0.053772127001712695,0.09685312109494808,0.053772127001712695
rep,ay_range,waveform_intensity,1945,-0.0959981225808243,-0.0916030709626465,-0.0926547021036934,-0.09637845319220974,-0.03163598252613788,0.0959981225808243,0.03163598252613788
rep,ay_diff_rms,waveform_intensity,1945,-0.09522828413144023,-0.08997718299365554,-0.09210922083573729,-0.14337475556789214,-0.10908097607033578,0.09522828413144023,0.10908097607033578
rep,ay_diff_abs_mean,waveform_intensity,1945,-0.08832338226289324,-0.08570659723285828,-0.07044630776840015,-0.14772993284688707,-0.121771080533837,0.08832338226289324,0.121771080533837
rep,gyro_mag_range,waveform_intensity,1945,-0.0866321987382425,-0.05878700986491561,-0.03545130975009027,0.01621942355733492,0.07603858811675354,0.0866321987382425,0.07603858811675354
rep,gyro_mag_diff_rms,waveform_intensity,1945,-0.0865487194805159,-0.08770319617653992,-0.059098160379622705,-0.07600495269510209,-0.07016242454146657,0.0865487194805159,0.07016242454146657
rep,pca_range_cv_so_far,variability,1945,0.08318609288330689,0.08129096754665396,0.12126871243482905,0.10144520345756201,0.18527954117846615,0.08318609288330689,0.18527954117846615
rep,gy_diff_abs_mean,waveform_intensity,1945,-0.08251039030481926,-0.0989660162925552,-0.06519314542407995,-0.08768126013588363,-0.07998119692237401,0.08251039030481926,0.07998119692237401
rep,gx_range,waveform_intensity,1945,-0.08224844971462465,-0.06947368167846314,-0.059903723471420846,-0.019890101607884757,-0.03660616142971799,0.08224844971462465,0.03660616142971799
rep,movement_rate,waveform_intensity,1945,-0.08142793493379503,-0.07111846137326339,-0.065383891288506,-0.06297950405809,-0.028861986305276123,0.08142793493379503,0.028861986305276123
rep,gyro_mag_diff_abs_mean,waveform_intensity,1945,-0.08103974184308996,-0.08328560632004867,-0.04146521675088899,-0.08157859497919945,-0.08265014703391509,0.08103974184308996,0.08265014703391509
rep,concentric_gain_from_first2,fatigue_drift,1945,0.07869970785408514,0.08205698769188055,0.10514979237430827,0.12031087949909355,0.14194409951690373,0.07869970785408514,0.14194409951690373
rep,gy_diff_rms,waveform_intensity,1945,-0.07825585496818499,-0.09867316407132823,-0.05925275837187302,-0.07948269190777128,-0.05890133761068578,0.07825585496818499,0.05890133761068578
rep,duration_gain_from_first2,fatigue_drift,1945,0.07577937518254423,0.0938619660780674,0.07744229391890126,0.19172451399566015,0.18766517768780303,0.07577937518254423,0.18766517768780303
rep,mag_mag_slope,shape_trend,1945,0.07348796244526867,0.052990403070656854,0.06439331023793127,0.00442584530964956,-0.03827828620845937,0.07348796244526867,0.03827828620845937
rep,my_slope,shape_trend,1945,0.07325332508193717,0.07957213378536401,0.06347818290560447,0.04132414458768418,-0.015390051319737415,0.07325332508193717,0.015390051319737415
rep,mx_slope,shape_trend,1945,0.07268611780508479,0.07397846208563888,0.09382148619004035,0.05570790326327947,0.036177007662638636,0.07268611780508479,0.036177007662638636
rep,mz_diff_abs_mean,waveform_intensity,1945,-0.07204217097705838,-0.08222604032879142,-0.0333831973397724,-0.10296193567188196,-0.09012930737119705,0.07204217097705838,0.09012930737119705
rep,sim_to_prev,similarity,1945,-0.06944475421611199,-0.05431055909255271,-0.10318401086593888,-0.05581182559103977,-0.09217084968011416,0.06944475421611199,0.09217084968011416
rep,similarity_instability_prev,similarity,1945,0.06944475421611199,0.05431055909255272,0.10318401086593888,0.05581182559103977,0.09217084968011416,0.06944475421611199,0.09217084968011416
rep,mz_diff_rms,waveform_intensity,1945,-0.06696072802546961,-0.07827363180743455,-0.028182965313099825,-0.09925647784747607,-0.08507399363438004,0.06696072802546961,0.08507399363438004
rep,ay_slope,shape_trend,1945,-0.0668003559665178,-0.06904823570594325,-0.07839900113436231,-0.006839540408079972,-0.00847116951754242,0.0668003559665178,0.00847116951754242
rep,sim_to_first,similarity,1945,-0.0665625882732911,-0.06748595307104684,-0.09441099352909064,-0.07756894029980296,-0.10400981917193139,0.0665625882732911,0.10400981917193139
rep,similarity_decay_from_first,similarity,1945,0.0665625882732911,0.06748595307104684,0.09441099352909064,0.07756894029980296,0.10400981917193139,0.0665625882732911,0.10400981917193139
