folder,exercise,set_id,set_index_numeric,borg,kg,n_reps,total_tut_sec,total_concentric_sec,total_eccentric_sec,mean_rep_duration_sec,mean_concentric_sec,mean_eccentric_sec,mean_concentric_ratio,mean_phase_balance_abs,duration_gain_last2_vs_first2,concentric_gain_last2_vs_first2,eccentric_gain_last2_vs_first2,velocity_loss_last2_vs_first2,pca_range_loss_last2_vs_first2,gyro_diff_gain_last2_vs_first2,acc_diff_gain_last2_vs_first2,sim_to_first_mean,sim_to_first_min,sim_to_first_last,sim_to_first_last_minus_first,rep_duration_slope,concentric_sec_slope,eccentric_sec_slope,pca_range_slope,movement_rate_slope,gyro_mag_diff_rms_slope,acc_mag_diff_rms_slope,sim_to_first_slope,rep_duration_cv,pca_range_cv,movement_rate_cv,sim_to_first_std,kg_x_total_tut,kg_x_n_reps,pca_range_mean,pca_range_max,pca_range_std,pca_diff_rms_mean,pca_diff_rms_max,pca_diff_rms_std,acc_mag_range_mean,acc_mag_range_max,acc_mag_range_std,acc_mag_diff_rms_mean,acc_mag_diff_rms_max,acc_mag_diff_rms_std,gyro_mag_range_mean,gyro_mag_range_max,gyro_mag_range_std,gyro_mag_diff_rms_mean,gyro_mag_diff_rms_max,gyro_mag_diff_rms_std,mag_mag_range_mean,mag_mag_range_max,mag_mag_range_std,gx_range_mean,gx_range_max,gx_range_std,gy_range_mean,gy_range_max,gy_range_std,gz_range_mean,gz_range_max,gz_range_std
haoyu0512workout,db_bench_press,0,0,8.0,8.0,13,74.23705799999999,63.815723999999996,41.197841999999994,5.710542923076923,4.908901846153846,3.169064769230769,0.6750127638490752,0.20421136201677312,3.568894952251023,10.349333333333334,5.815642458100559,0.7402196370793537,-0.15673614102631217,-0.420192676950057,-0.023433195098694126,-0.11474635356091165,-0.8294431014610609,-0.8294431014610609,-1.8294431014610608,4.520564307692308,6.549178153846155,3.4935216923076924,0.09602895349675483,-0.3353746958769663,-0.08205058772086968,-0.0028414708186203334,-0.3154177926702002,0.740392639771041,0.17460925720882667,0.34380066383301455,0.6061905994643018,593.8964639999999,104.0,4.018702302007721,5.277969474477279,0.730355246951247,0.05182495923501269,0.0740067654786037,0.017435642186771644,1.1450826407815786,2.4298662249688534,0.49734356652324796,0.12900828385484037,0.1503698466846764,0.012025126294140986,5.32387019214658,9.336376877650528,1.532114869865775,0.2844150984212796,0.4688961874295516,0.0705107851846016,0.750723727169058,1.2841185679808502,0.227143671515666,6.637054705595191,11.861132602077198,1.8838248639434818,5.921523166751184,9.000627146257846,1.3867387178325314,5.477601880187573,8.75726689673837,1.2085899684270311
haoyu0512workout,db_bench_press,1,1,9.0,8.0,12,47.296116000000005,28.293048,18.993869999999998,3.9413430000000003,2.357754,1.5828224999999998,0.5958485147246586,0.191939983773904,0.08957055214723919,-0.03448275862068961,0.31506849315068486,-0.17596277003848382,-0.3196174749767524,-0.14924864618471934,0.04022690971300302,0.18131659390817823,-0.5596056727546154,0.3443159740257461,-0.6556840259742539,0.025825153846153824,-0.08702723076923077,0.1144443461538462,0.4503013630691553,0.10167969173757112,-0.026959982838353005,-0.0036125654100460543,-0.0005095962878698423,0.11373355122171569,0.10833237945056058,0.12877840253896963,0.38000337263222655,378.36892800000004,96.0,4.693233920084059,5.570942556373447,0.5310369779191395,0.07424604758076726,0.0992145653109253,0.011691515153564033,1.0573975541802905,1.3667659971991448,0.1519004724435467,0.13988271967049326,0.1704613885096865,0.017594313273994105,5.522740098193974,6.531520985871161,0.7402934467750014,0.3321728400432124,0.3855091291286815,0.03309155085283086,0.5825055019033013,0.705326232940473,0.05481230928295071,6.430084638687503,7.326641293184894,0.5355085964238242,5.931742607792638,7.207502980986376,0.6914165567006917,5.515357013286436,6.890104752975173,0.659451493445741
haoyu0512workout,db_bench_press,2,2,9.0,8.0,12,49.549626,29.783124,19.766502000000003,4.1291355,2.481927,1.6472085000000003,0.6015050372998311,0.20301007459966194,0.2985274431057565,0.4018475750577366,0.1560509554140126,-0.02244500232809199,-0.2897261987298996,0.14252524966975066,0.01957364735703293,0.08366192422461516,-0.3776899501915499,-0.266957153686615,-1.266957153686615,0.6440368846153848,0.4683904615384617,0.17564642307692305,0.6460675036812312,-0.0021674218309204957,0.006027539494509275,-0.0005260765604066144,-0.35224716880599194,0.13536881150329683,0.1439556547928649,0.16528684862318074,0.4233154957665648,396.397008,96.0,4.708781649233842,5.92442024003927,0.707997235612631,0.06761192934648261,0.0896304939151866,0.011637105888218195,1.0558592176188148,1.413612095286202,0.15468532786446465,0.12985551014774718,0.1600534128351299,0.014183622111922988,5.252960254281999,6.408069512395315,0.7457191843106388,0.31990457808844297,0.3770084628377124,0.030790906137126935,0.7087300482576379,0.8146911587625707,0.06599525773320024,6.180999315415057,7.600252735684744,0.667496269527835,5.863605379138228,6.969163524172553,0.5232904300667461,5.627838304867257,6.225676365413287,0.5197013797649215
haoyu0512workout,db_biceps_curl,0,0,9.0,5.0,12,40.50799199999999,14.229306000000001,26.278686,3.375665999999999,1.1857755,2.1898905,0.3481365912775889,0.32142888825310545,0.12749999999999995,-0.4107142857142857,0.6446078431372548,0.09915140815466694,-0.03003949928213423,-0.18190758514746297,-0.49085847129185856,0.38459438496743065,-0.2141138859372359,0.5230248639301566,-0.47697513606984343,0.11214484615384611,-0.47068996153846154,0.5828348076923079,-0.07101060609800916,-0.04278412727883621,-0.009013017076604343,-0.03129073662888437,-0.1646285232045914,0.22783702079220589,0.09623532389559426,0.18978659722025448,0.313479882224943,202.53995999999995,60.0,3.1701548359834923,4.071285553120758,0.3186465841300348,0.03914348705380695,0.0799963100876676,0.016736045270951194,0.7911717995369374,1.1679203463706114,0.13722270661271593,0.10855535128516901,0.1689319314335484,0.026764178424999036,3.0574062745814206,3.936268451229106,0.4150976258084384,0.06861326815182363,0.0836434055508259,0.009825007842085728,0.9435998466638975,1.082549101300572,0.14478496670953772,5.75091727537859,6.455498142026858,0.5289839774732863,3.145925261548862,4.053412749674983,0.36860004008777547,3.6313480734329313,4.810676011591476,0.48317437467052143
haoyu0512workout,db_biceps_curl,1,1,9.0,5.0,12,41.271426000000005,15.213492,26.057934000000003,3.4392855000000004,1.2677910000000001,2.1714945,0.3694244677917709,0.2611510644164581,0.17069701280227578,-0.08609271523178796,0.364089775561097,0.13909573898692829,-0.016566847068808288,-0.15057237518286837,-0.3085364039422335,0.7619770211059423,0.6008948302264293,0.8528422280105846,-0.14715777198941538,0.2895601153846155,-0.11639007692307692,0.40595019230769236,0.011929019579062885,-0.07281057059986301,-0.00444740331872719,-0.016710241292444885,-0.06856954158944821,0.07436750146394193,0.03123725547924188,0.09070854334005074,0.12284453096909682,206.35713000000004,60.0,2.996670127072003,3.1283806754055696,0.09777010655748347,0.023839362988713888,0.0324705051329205,0.0032084112449444137,0.641666273061972,0.9392187182733418,0.13531462339749195,0.0871375612887429,0.133963321938198,0.016280395605414603,2.9896717468602625,3.352692344742636,0.2634159510677906,0.06583335712504775,0.0887706609363032,0.009735019099298742,1.0142945461396045,1.175869436182643,0.07799211628070378,5.686683961136164,6.851539815034448,0.5391891323524828,3.1558186573213427,3.492191133753228,0.19546885756476667,3.3678884016986537,3.5540031722651317,0.1356142349372948
haoyu0512workout,db_biceps_curl,3,3,9.0,5.0,12,41.243832,14.634018000000001,26.609814,3.4369859999999997,1.2195015,2.2174845,0.35469850109150164,0.2906029978169965,0.08044382801664351,0.09328358208955234,0.07284768211920523,0.07690501662987215,0.005920471108196823,-0.3810892740445516,-0.4435739918245688,0.8690212558069531,0.48213343033871,0.8564520264281772,-0.1435479735718228,0.17971476923076934,0.08720411538461544,0.0925106538461539,-0.02225651305240331,-0.0536199558084976,-0.02283772699519489,-0.036781439458587604,-0.04155766380121291,0.04552569330044759,0.05269106869639128,0.07000838118216404,0.16398935293623934,206.21916,60.0,3.132803326503455,3.4110367089192444,0.17241078088535444,0.037148320932219626,0.1001012120295592,0.02300711450827066,0.85631833485674,1.432497936803638,0.1941633217743859,0.11201396441483098,0.1756618906325247,0.02852270562059485,3.028118477514738,3.51445331694433,0.2758567284158419,0.08784636368630977,0.1234976440242505,0.018063718484984552,1.0185614993344074,1.2648424078167837,0.10329856988791129,5.734675761373347,6.931556880887465,0.6065729320705054,3.2189807820634466,3.5743795388491173,0.1640227661015519,3.469372409712452,3.756543707631426,0.14800608472073637
haoyu0512workout,db_rdl,0,0,9.0,10.5,12,51.159276000000006,28.578186000000002,22.571892,4.263273000000001,2.3815155000000003,1.8809909999999999,0.5585932363277749,0.11878832112440592,-0.05810397553516822,-0.14237288135593218,0.06905370843989767,0.11023149050586178,0.17505008733647587,0.0014545874847733398,0.25677210181440513,0.20230031068404886,-0.2647276946093898,0.7074075179535237,-0.29259248204647625,-0.027593999999999827,-0.16821726923076916,0.14186146153846158,-0.45951867926502743,-0.09544593157906976,0.014006254665639635,0.010515594811717321,-0.12634341728166862,0.09045850446538346,0.10544133990532151,0.1224919397590948,0.3907500823392612,537.172398,126.0,4.777989854281632,6.330022024687771,0.5261994863192258,0.08216691684602101,0.110770959074287,0.01309084503688441,0.8581391584575456,1.054533867103999,0.11831604746867212,0.09235832071931227,0.1129381056360668,0.015069053652211775,5.300753727153679,8.290041672000633,1.2251338631708613,0.45299933732511066,0.5405019208336806,0.04712121738346016,2.1020778779063236,2.851196096395122,0.37155706361826274,6.285905137726072,7.756761139054763,0.8941100347263745,5.358369174921701,6.371935610521978,0.5216812844737532,7.319756598208994,12.498710180240089,2.0085125912781225
haoyu0512workout,db_rdl,1,1,9.0,10.5,12,45.934812,26.324675999999997,19.610135999999997,3.827901,2.193723,1.6341779999999997,0.5709243461049677,0.14348267913803994,0.20811518324607325,0.3768472906403939,0.016759776536312998,0.19458366071159594,0.029395828844332006,-0.020239817001653893,0.05613766617996263,0.2677713459588674,-0.781482394496334,-0.7631795482572442,-1.7631795482572445,0.24763846153846142,0.28549176923076924,-0.037853307692307686,-0.09851715575446493,-0.1046533431527047,-0.010418876683152343,0.006637635181595045,-0.8416557213976466,0.10009210660683018,0.064117018719924,0.09410277544299653,0.7086844737402862,482.31552600000003,126.0,4.60247547069839,5.203361268235861,0.30821877041302737,0.06978992831536653,0.08118374984565,0.008863633675051089,0.8800256943807944,1.015947118640014,0.10554851039460633,0.09770637761281237,0.1216104578093762,0.012557204287866391,5.072564195739218,7.460121138782695,1.1582955256482128,0.397672380177638,0.4509525891672415,0.04336381453521817,1.7791172731493996,2.0512257238284293,0.19199720487760774,6.231484392983365,8.37266088221791,1.0821581830268099,5.329852574971424,5.967798865273567,0.40174756328792244,5.539519854964908,5.992391441809502,0.3364320821290907
haoyu0512workout,db_rdl,2,2,9.0,10.5,12,53.394389999999994,30.85929,22.535099999999996,4.449532499999999,2.5716075000000003,1.8779249999999996,0.5766245035125448,0.1701359380089368,-0.3482506102522376,-0.39896373056994827,-0.2625820568927789,-0.2763914560609442,0.17307169884974294,0.6378152445729943,1.045353637459872,0.1596133750196086,-0.6341837119106463,0.7130449879859727,-0.2869550120140275,-0.6638479615384616,-0.6136127307692308,-0.05023523076923075,-0.30584746128453577,0.07907989813520802,0.053652473149694124,0.036134322440400796,-0.0010511571530113677,0.16265009035049224,0.08220295818317268,0.10825237308024621,0.5743716882006229,560.641095,126.0,4.687254223239953,5.592292659242534,0.40243916198469754,0.06720646079951041,0.0873900439763473,0.008759303235576478,0.8367236042654085,1.2807720184502935,0.20224742964813808,0.08963430564630714,0.1667547419733948,0.02907475087844719,5.217595237819383,7.756240671895016,1.0833670683934393,0.39482283580489375,0.5671098354941786,0.08302274069312301,1.6240294719516104,1.942837092328333,0.2027032557372013,6.4520099702288904,9.75067507356844,1.265079491229807,5.193524895366166,6.407720457256938,0.5566085006363775,5.736055501195953,7.129104413036609,0.7968481939491576
haoyu0512workout,db_shoulder_press,0,0,7.0,5.0,12,45.530100000000004,28.633374,16.896725999999997,3.7941750000000005,2.3861145,1.4080604999999997,0.6258612568248908,0.2517225136497814,-0.2474849094567405,-0.24311926605504586,-0.25588235294117656,-0.19730818583074927,0.056811247042661495,-0.06868975705766611,-0.09971007833218115,0.13333085721267532,-0.738806574450287,0.7008514301011809,-0.2991485698988191,-0.5211020769230769,-0.32882850000000013,-0.19227357692307695,-0.037460397662525666,0.11468899569942362,-0.012858571570216948,-0.013945293055817307,0.01962172331785045,0.16177921068195578,0.12419966847421782,0.20643083107842108,0.6149903889431282,227.65050000000002,60.0,3.7724005669977103,4.847198946982373,0.48936456465185696,0.05035487063217269,0.0654257040824521,0.009822938492614194,0.900905308684492,1.1916343717128877,0.1485663994936806,0.14444503439682085,0.1925452630758316,0.022775025343652115,4.262918106360393,4.933792273438774,0.4379283214212921,0.3375063541862416,0.3795847668726354,0.03474335299364447,1.6197260268919156,1.986873946849531,0.16586791184696356,5.9752119443539655,8.174053688479928,0.89689073438,5.326611793709007,6.852265819760021,0.7544619377256072,5.158604546254309,5.668589922787502,0.29830157437956567
