level,feature,group,n,raw_spearman,raw_pearson,exercise_centered_spearman,subject_centered_spearman,subject_exercise_centered_spearman,abs_raw_spearman,abs_subject_exercise_centered_spearman
set,set_index_numeric,progress,166,0.43006912549094206,0.3980764190189124,0.47275377961583165,0.5038560533928965,0.8007268216295709,0.43006912549094206,0.8007268216295709
set,n_reps,progress,166,-0.35348703336709497,-0.28092412150596763,-0.19700866155554322,-0.31309019189517145,-0.10511072203148379,0.35348703336709497,0.10511072203148379
set,kg_x_n_reps,load,166,-0.3367742862492046,-0.31151564548511623,-0.22446047448083925,-0.24818795371416813,-0.03710241008315592,0.3367742862492046,0.03710241008315592
set,kg_x_total_tut,load,166,-0.2983221530660263,-0.24815779620686684,-0.19621552597017203,-0.2182425748514261,-0.2566772972065305,0.2983221530660263,0.2566772972065305
set,kg,load,166,-0.2905959186736996,-0.27391849890218056,-0.19406445893621607,-0.19651165038684856,0.14937889624498912,0.2905959186736996,0.14937889624498912
set,pca_diff_rms_mean,waveform_intensity,166,-0.2891170127692481,-0.28981904414186155,-0.24840719429165387,-0.27095160781002037,-0.1640057251166775,0.2891170127692481,0.1640057251166775
set,pca_diff_rms_max,waveform_intensity,166,-0.284549841868844,-0.23182564931566713,-0.17228657921069765,-0.27915370841762627,-0.06852999468205988,0.284549841868844,0.06852999468205988
set,gyro_diff_gain_last2_vs_first2,fatigue_drift,166,0.23837319264826234,0.20936957792507346,0.14286625941251987,0.324620419149303,0.13774884554745084,0.23837319264826234,0.13774884554745084
set,gyro_mag_diff_rms_slope,shape_trend,166,0.2328348801144585,0.16805178844480548,0.11570469989149519,0.2770870994282919,0.14537763142480029,0.2328348801144585,0.14537763142480029
set,pca_diff_rms_std,waveform_intensity,166,-0.23204407427268042,-0.19582375728153728,-0.10129378307386529,-0.252681681452595,-0.038573312017274757,0.23204407427268042,0.038573312017274757
set,pca_range_mean,waveform_intensity,166,-0.19443938634718305,-0.21084487111956307,-0.22611095978364867,-0.08835344264248811,-0.08513235068758294,0.19443938634718305,0.08513235068758294
set,gz_range_mean,waveform_intensity,166,-0.19192270018855148,-0.18953894975128477,-0.12431056342275197,-0.13579222878838348,0.13097882493115662,0.19192270018855148,0.13097882493115662
set,gyro_mag_range_mean,waveform_intensity,166,-0.1852155445609034,-0.2052139070388636,-0.1729021274791374,-0.0220657119915839,0.017318871806158084,0.1852155445609034,0.017318871806158084
set,gyro_mag_diff_rms_std,waveform_intensity,166,-0.1775679711754651,-0.15251195681259289,-0.1130981351556288,-0.08612927769462762,0.04901942748572405,0.1775679711754651,0.04901942748572405
set,gyro_mag_diff_rms_max,waveform_intensity,166,-0.17442478511853302,-0.17114039978646906,-0.1595844978845572,-0.10560844603374096,0.0025881499048673387,0.17442478511853302,0.0025881499048673387
set,pca_range_max,waveform_intensity,166,-0.17426181499573415,-0.19183593385267458,-0.20713002362549174,-0.06715034952383475,-0.06373434389141255,0.17426181499573415,0.06373434389141255
set,concentric_gain_last2_vs_first2,fatigue_drift,166,0.16990036047984666,0.08074372960596274,0.18763066195340358,0.09442591187734921,0.09922558426624986,0.16990036047984666,0.09922558426624986
