group,features,mean_abs_corr,max_abs_corr
progress,2,0.39177807942901854,0.43006912549094206
load,3,0.3085641193296435,0.3367742862492046
waveform_intensity,31,0.13269775457863167,0.2891170127692481
fatigue_drift,12,0.1116662108560499,0.23837319264826234
shape_trend,3,0.13620027639812846,0.2328348801144585
variability,3,0.06939365788958524,0.11211810120290033
tut,6,0.05121071576625427,0.10978583030235115
similarity,4,0.0573334235289101,0.1051170650259428
other,2,0.04812828323213192,0.08472709818658389
