plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/029_hsianshun0514workout_db_biceps_curl_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_biceps_curl,0,286569,290778,0.5,11,12,9,3,2,0.75,0.8182,0.7826,0.7426
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/030_hsianshun0514workout_db_biceps_curl_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_biceps_curl,1,321008,323537,0.5,7,8,6,2,1,0.75,0.8571,0.8,0.8871
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/031_hsianshun0514workout_db_biceps_curl_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_biceps_curl,2,367807,371139,0.5,11,23,7,16,4,0.3043,0.6364,0.4118,0.5929
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/032_hsianshun0514workout_db_rdl_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_rdl,0,112110,116226,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8772
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/033_hsianshun0514workout_db_rdl_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_rdl,1,122863,126634,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8901
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/034_hsianshun0514workout_db_rdl_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_rdl,2,134286,138028,0.5,12,12,12,0,0,1.0,1.0,1.0,0.9089
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/035_hsianshun0514workout_db_shoulder_press_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_shoulder_press,1,217070,221313,0.5,12,2,0,2,12,0.0,0.0,0.0,0.0
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/036_hsianshun0514workout_db_shoulder_press_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_shoulder_press,2,235168,238971,0.5,12,9,5,4,7,0.5556,0.4167,0.4762,0.5848
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/037_hsianshun0514workout_db_shoulder_press_set_3.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_shoulder_press,3,267342,271029,0.5,10,2,0,2,10,0.0,0.0,0.0,0.0
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/038_hsianshun0514workout_db_squat_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_squat,0,473497,476601,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8301
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/039_hsianshun0514workout_db_squat_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_squat,1,486271,489324,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8611
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/040_hsianshun0514workout_db_squat_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_squat,2,502284,505107,0.5,12,12,11,1,1,0.9167,0.9167,0.9167,0.8725
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/041_hsianshun0514workout_db_triceps_curl_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_triceps_curl,0,407676,410731,0.5,11,10,8,2,3,0.8,0.7273,0.7619,0.6722
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/042_hsianshun0514workout_db_triceps_curl_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_triceps_curl,1,430978,434589,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8514
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/043_hsianshun0514workout_db_triceps_curl_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_triceps_curl,2,448600,451823,0.5,12,12,12,0,0,1.0,1.0,1.0,0.7292
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/044_hsianshun0514workout_db_weighted_crunch_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,0,164651,169003,0.5,12,10,10,0,2,1.0,0.8333,0.9091,0.8519
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/045_hsianshun0514workout_db_weighted_crunch_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,1,176284,176675,0.5,1,14,0,14,1,0.0,0.0,0.0,0.0
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/046_hsianshun0514workout_db_weighted_crunch_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,2,177652,182328,0.5,13,12,10,2,3,0.8333,0.7692,0.8,0.8152
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/047_hsianshun0514workout_db_weighted_crunch_set_3.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,db_weighted_crunch,3,191776,196184,0.5,12,13,10,3,2,0.7692,0.8333,0.8,0.8016
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/048_hsianshun0514workout_one_arm_db_row_set_0.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,0,43208,46964,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8366
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/049_hsianshun0514workout_one_arm_db_row_set_1.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,1,55172,58391,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8863
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/050_hsianshun0514workout_one_arm_db_row_set_2.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,2,64750,67663,0.5,12,12,12,0,0,1.0,1.0,1.0,0.899
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/051_hsianshun0514workout_one_arm_db_row_set_3.png,datasets/workout/hsianshun0514workout/hsianshun0514workout_whole_session_20260514_145843.csv,hsianshun0514workout,one_arm_db_row,3,74827,77617,0.5,12,12,12,0,0,1.0,1.0,1.0,0.8585
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/052_kevin0509workout_db_bench_press_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,0,617,4613,0.5,12,23,6,17,6,0.2609,0.5,0.3429,0.5662
artifacts_rep_classification/010_waveform_rep_accuracy_universal_periodic_gyro_valley/sets_all/053_kevin0509workout_db_bench_press_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,1,11655,14978,0.5,12,25,7,18,5,0.28,0.5833,0.3784,0.5449
