recv_time,timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw
2026-03-11T17:28:54.395,2027371,-917.0,1223.0,16396.0,-146.0,-72.0,-129.0,4051.0,5228.0,-3208.0,4.2658704500951545,3.192269281143395,-54.74105764189569
2026-03-11T17:28:54.395,2027381,-1016.0,1196.0,15630.0,-129.0,-66.0,-235.0,4051.0,5228.0,-3208.0,3.0038674049947054,2.555791216298812,-56.942809325530504
2026-03-11T17:28:54.395,2027391,-990.0,1245.0,16352.0,-141.0,-76.0,-177.0,4053.0,5217.0,-3174.0,1.6490691730225442,1.8289685517400747,-58.44501879878256
2026-03-11T17:28:54.395,2027401,-635.0,1182.0,16782.0,-139.0,-22.0,-274.0,4053.0,5217.0,-3174.0,0.33446454662288283,1.6200208467760262,-60.7702054294576
2026-03-11T17:28:54.395,2027411,-751.0,1123.0,16359.0,-121.0,-72.0,-157.0,4049.0,5219.0,-3231.0,-0.7794840339053513,0.9344663293039017,-61.83920017931101
2026-03-11T17:28:54.395,2027421,-651.0,1057.0,16222.0,-121.0,-72.0,-157.0,4049.0,5219.0,-3231.0,-1.8751336956429068,0.2560415650368984,-62.824095161264786
2026-03-11T17:28:54.395,2027431,-851.0,1219.0,16579.0,-138.0,-65.0,-246.0,4060.0,5221.0,-3203.0,-3.105926914644141,-0.3274689398581098,-64.57123571135425
2026-03-11T17:28:54.396,2027441,-878.0,1055.0,15836.0,-150.0,-53.0,-196.0,4060.0,5221.0,-3203.0,-4.437579710074655,-0.776991298027295,-65.725257147962
2026-03-11T17:28:54.396,2027451,-881.0,1142.0,16036.0,-165.0,-28.0,-141.0,4043.0,5229.0,-3239.0,-5.884359542394432,-0.9731179271693715,-66.27657097697667
2026-03-11T17:28:54.396,2027461,-821.0,1156.0,16180.0,-170.0,-47.0,-232.0,4043.0,5229.0,-3239.0,-7.350939883555576,-1.3563071990666735,-67.63047810661149
2026-03-11T17:28:54.396,2027471,-1065.0,1188.0,15820.0,-83.0,-87.0,-146.0,4053.0,5241.0,-3221.0,-7.931429975900205,-2.1049700348315654,-68.0776001605119
2026-03-11T17:28:54.401,2027481,-843.0,1156.0,16206.0,-131.0,-46.0,-195.0,4053.0,5241.0,-3221.0,-8.974999592189945,-2.454267001089085,-68.94190352085275
2026-03-11T17:28:54.411,2027491,-649.0,1110.0,16557.0,-182.0,-30.0,-128.0,4061.0,5225.0,-3191.0,-10.502390908883688,-2.654387582677795,-69.08655640823105
2026-03-11T17:28:54.421,2027501,-1295.0,1172.0,15278.0,-182.0,-6.0,-222.0,4061.0,5225.0,-3191.0,-11.988209883639549,-2.563483402347805,-70.08583971737426
2026-03-11T17:28:54.431,2027511,-858.0,1202.0,16452.0,-155.0,-6.0,-222.0,4053.0,5220.0,-3139.0,-13.183872408445415,-2.5114647988714327,-71.01420589052985
2026-03-11T17:28:54.442,2027521,-625.0,1101.0,16601.0,-122.0,-29.0,-164.0,4053.0,5220.0,-3139.0,-14.039907475716587,-2.702408489780948,-71.32286532406523
2026-03-11T17:28:54.451,2027531,-996.0,1236.0,16413.0,-143.0,-25.0,-209.0,4057.0,5229.0,-3182.0,-15.07437739676861,-2.8241028250842812,-72.01439281348635
2026-03-11T17:28:54.461,2027541,-844.0,1092.0,16064.0,-165.0,-47.0,-221.0,4057.0,5229.0,-3182.0,-16.312112354920377,-3.1682080990506263,-72.75039667076325
2026-03-11T17:28:54.471,2027551,-818.0,1094.0,16099.0,-114.0,-67.0,-140.0,4051.0,5228.0,-3219.0,-17.025319483333202,-3.7034029242082966,-72.65342016207249
2026-03-11T17:28:54.481,2027561,-1144.0,1251.0,15863.0,-136.0,-59.0,-234.0,4051.0,5228.0,-3219.0,-17.92742967597633,-4.1252915878746155,-73.42633136933338
2026-03-11T17:28:54.491,2027571,-265.0,1076.0,17323.0,-176.0,-42.0,-132.0,4033.0,5212.0,-3163.0,-19.222595062004896,-4.436891097195938,-73.16193260623469
2026-03-11T17:28:54.501,2027581,-1310.0,1207.0,15331.0,-134.0,-42.0,-244.0,4033.0,5212.0,-3163.0,-20.06131165418742,-4.662374463213573,-73.94970743367966
2026-03-11T17:28:54.512,2027591,-1026.0,1212.0,16047.0,-134.0,-42.0,-244.0,4048.0,5220.0,-3219.0,-20.88690056410012,-4.907767190384836,-74.6619612110548
2026-03-11T17:28:54.521,2027601,-583.0,1155.0,16912.0,-167.0,-44.0,-158.0,4048.0,5220.0,-3219.0,-22.02762392220474,-5.201416528561526,-74.48596830153464
2026-03-11T17:28:54.533,2027611,-867.0,1150.0,16142.0,-191.0,-36.0,-198.0,4048.0,5224.0,-3141.0,-23.377370998968683,-5.388854375266586,-74.67196888452717
2026-03-11T17:28:54.542,2027621,-1196.0,1200.0,15503.0,-183.0,-53.0,-221.0,4042.0,5224.0,-3141.0,-24.61470121129931,-5.712510919742754,-75.02929898651476
2026-03-11T17:28:54.551,2027631,-323.0,993.0,16718.0,-155.0,-51.0,-145.0,4042.0,5225.0,-3134.0,-25.573423047872744,-6.0759627384204045,-74.61689666243181
2026-03-11T17:28:54.562,2027641,-930.0,1213.0,16349.0,-159.0,-13.0,-218.0,4038.0,5225.0,-3134.0,-26.535289857177595,-6.016907249949456,-74.88838474127037
2026-03-11T17:28:54.571,2027651,-947.0,1003.0,15318.0,-115.0,-39.0,-137.0,4038.0,5219.0,-3207.0,-27.056658158717752,-6.208166374380719,-74.34095018711659
2026-03-11T17:28:54.581,2027661,-887.0,1365.0,17198.0,-143.0,-21.0,-220.0,4047.0,5219.0,-3207.0,-27.826164290333253,-6.230938686470652,-74.57992285398801
2026-03-11T17:28:54.600,2027671,-363.0,953.0,16439.0,-200.0,-71.0,-110.0,4047.0,5231.0,-3167.0,-29.16328437429532,-6.776862726320522,-73.72844424162545
