recv_time,timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,roll,pitch,yaw,ax_w,ay_w,az_w,vx,vy,vz,x,y,z,a_norm,g_norm,m_norm,stationary,bias_ready
2026-03-12T20:09:49.024,318074,-0.814028564453125,1.1468225952148436,9.029731561279297,-9.207317073170733,-2.682926829268293,-13.841463414634148,1170.0,9787.0,-2803.0,7.2381085859849215,5.110447145565633,0.0,0.0,0.0,-0.668056200218528,0.0,0.0,-0.0065803535721525004,0.0,0.0,-6.573773218580348e-05,9.138593799781473,16.83920703346106,10247.491302753078,0,0
2026-03-12T20:09:49.025,318084,-0.38367081604003905,1.0690110412597655,9.801263046264648,-9.178048780487806,-2.760975609756098,-13.641463414634147,1165.0,9772.0,-2799.0,7.132501751749167,5.040022305739602,-0.13641463414634147,0.4834934383988579,-0.1573805600828162,0.0,0.00476241036822875,-0.0015501985168157398,-0.0064816482685702125,4.7576479578605215e-05,-1.5486483182989242e-05,-0.0001304236606566341,9.866850825034758,16.671805236010997,10231.500867419209,0,0
2026-03-12T20:09:49.025,318094,-0.27832594299316404,1.150413897705078,10.644620581054687,-9.073073170731709,-2.842536585365854,-13.320878048780488,1165.0,9772.0,-2799.0,7.0286686784013925,4.958759632911108,-0.26962341463414635,0.6473125382589324,-0.16381857385284082,0.8827379494507372,0.011067002714555805,-0.0031405584915139857,0.0023105452575481024,0.0001580882602174391,-4.6845176030030975e-05,-0.0001072108898730719,10.710222443123627,16.366015489149362,10231.500867419209,0,0
2026-03-12T20:09:49.026,318104,-0.6332663391113281,1.1001356628417969,9.4481183013916,-9.078934634146343,-2.7956214634146344,-13.09911024390244,1174.0,9767.0,-2800.0,6.933435032945875,4.913974785466365,-0.40061451707317075,0.18350067252543167,0.0,-0.2755368340722324,0.01270847929821297,-0.0030934501141412756,-0.0004381507369266081,0.0002848878801463692,-7.77018974942723e-05,-0.00011148080484509564,9.53300918755451,16.181138484041117,10228.02840238528,0,0
2026-03-12T20:09:49.026,318114,-0.7607575775146483,1.199495031738281,9.661800799560547,-9.103839375609757,-2.7085571121951224,-12.79264483902439,1174.0,9767.0,-2800.0,6.845915041027125,4.880605074813875,-0.5285409654634147,0.0,0.0,0.0,0.012517852108739775,-0.0030470483624291562,-0.000431578475872709,0.0004096563348325332,-0.00010806420873744528,-0.00011568079301421891,9.765650777766917,15.933233663771546,10228.02840238528,0,0
2026-03-12T20:09:49.026,318124,-0.6464344482421874,0.9720458740234375,8.765172277832031,-9.126751737756098,-2.6284579090731715,-12.92533081287805,1159.0,9768.0,-2810.0,6.748250322517555,4.8443907666177495,-0.6577942735921951,0.0,0.0,-0.9648915417241515,0.012330084327108679,-0.0030013426369927187,-0.009929286484717512,0.0005324242209255164,-0.00013793955747226508,-0.00021475868420353262,8.842567259408057,16.039656008927935,10230.014907125014,0,0
2026-03-12T20:09:49.037,318134,-0.40282442932128903,1.0193313568115234,9.612121115112304,-9.181977452394147,-2.6572056665912203,-13.047401908823417,1159.0,9768.0,-2810.0,6.647384940409753,4.781347128554917,-0.7882682926804293,0.4028129727269014,-0.10575911293638374,-0.14120986586958928,0.016112840843562026,-0.003998049759861208,-0.011171264366262203,0.0006928590767317754,-0.00017774213501580628,-0.0003261448565382885,9.674408316141356,16.174181539144662,10230.014907125014,0,0
2026-03-12T20:09:49.043,318144,-0.14305354919433594,0.8595183959960937,9.460089309692382,-9.232785109861151,-2.5860926278980694,-12.813365853678519,1175.0,9778.0,-2800.0,6.534603540361807,4.697095845593754,-0.9164019512172145,0.6314295172258433,-0.23278317609526378,-0.33038308227064483,0.022090728975583153,-0.006230993298001638,-0.014257968761134122,0.0009128526001211194,-0.00023981201592782685,-0.0004682558196054801,9.500132943193421,16.003578989249785,10238.64781111256,0,0
2026-03-12T20:09:49.053,318154,-0.3962403747558593,1.1055226165771483,9.962871658325195,-9.284406203511283,-2.27676619327598,-12.695613658554969,1175.0,9778.0,-2800.0,6.440111284742345,4.6381683294316165,-1.0433580878027642,0.41521369573467604,0.0,0.21656773133610052,0.025849222943935966,-0.006137528398531613,-0.01191090707605652,0.0011701734847309186,-0.0003008861126132299,-0.0005867775254756794,10.0318491999536,15.89221410055662,10238.64781111256,0,0
2026-03-12T20:09:49.063,318164,-0.7404068634033203,1.0474632263183594,8.91840118408203,-9.019702487718186,-2.23121026366756,-12.518988956114473,1174.0,9796.0,-2793.0,6.355145762281001,4.617321908735834,-1.168547977363909,0.0,0.0,-0.7966481713423423,0.025461484599776926,-0.0060454654725536384,-0.019579227957637745,0.0014233635423979592,-0.0003609794265714275,-0.0007817872352470048,9.010175426377655,15.590330871760267,10253.815923840255,0,0
