file,subject,exercise_hint,start,end,samples,best_true_iou
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,22440,22898,458,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,22898,23346,448,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,23346,23799,453,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,23799,24254,455,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,24254,24744,490,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,24744,25213,469,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,25213,25735,522,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,25735,26327,592,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,26327,26748,421,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,26748,27056,308,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,27056,27408,352,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,27408,27776,368,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,27776,28168,392,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,28168,28602,434,0.0
datasets/workout/haoyu0512workout/haoyu0512workout(left)/haoyu0512workout_whole_session_20260512_165722.csv,haoyu0512workout,db_bench_press,28602,29026,424,0.0
