iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
0.25,2424,5942,1430,4512,994,0.2407,0.5899,0.3419,0.5475
0.5,2424,5942,855,5087,1569,0.1439,0.3527,0.2044,0.6282
0.75,2424,5942,127,5815,2297,0.0214,0.0524,0.0304,0.8337
