iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
0.25,2424,34780,1842,32938,582,0.053,0.7599,0.099,0.448
0.5,2424,34780,544,34236,1880,0.0156,0.2244,0.0292,0.6305
0.75,2424,34780,106,34674,2318,0.003,0.0437,0.0057,0.8478
