fold,train_subjects,val_subjects,val_samples,accuracy
1,"haoyu0512workout,hsianshun0514workout,kevin0509workout,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",thomas0506,561,0.779
2,"haoyu0512workout,hsianshun0514workout,thomas0506,yanz0510workout,yoru0511workout,yushuan0513workout,ziho0512workout",kevin0509workout,548,0.8832
3,"haoyu0512workout,hsianshun0514workout,kevin0509workout,thomas0506,yanz0510workout,yushuan0513workout","yoru0511workout,ziho0512workout",964,0.7967
4,"hsianshun0514workout,kevin0509workout,thomas0506,yoru0511workout,yushuan0513workout,ziho0512workout","haoyu0512workout,yanz0510workout",984,0.7276
5,"haoyu0512workout,kevin0509workout,thomas0506,yanz0510workout,yoru0511workout,ziho0512workout","hsianshun0514workout,yushuan0513workout",983,0.8321
