folder,1,2,3,4,5,6,7,8,9,10,total
haoyu0512workout,0,0,0,0,0,2,3,2,17,0,24
hsianshun0514workout,0,0,0,4,2,3,6,3,2,4,24
tsenyu0515workout,0,0,2,2,4,5,2,4,4,1,24
yanz0510workout,0,0,0,0,2,2,7,5,5,3,24
yoru0511workout,0,0,1,1,5,6,6,3,2,0,24
yushuan0513workout,0,0,0,0,1,4,4,5,6,4,24
ziho0512workout,0,0,0,0,0,2,1,6,11,4,24
TOTAL,0,0,3,7,14,24,29,28,47,16,168
