folder,1,2,3,4,5,6,7,8,9,10,total
haoyu0512workout,20,0,22,30,52,53,41,38,32,0,288
hsianshun0514workout,21,15,46,36,56,35,38,18,10,4,279
tsenyu0515workout,28,33,23,51,60,47,23,14,6,1,286
yanz0510workout,11,16,18,10,35,41,61,56,24,3,275
yoru0511workout,24,8,24,40,82,59,34,11,6,0,288
yushuan0513workout,22,0,21,29,64,57,41,25,18,4,281
ziho0512workout,10,5,8,15,40,62,62,42,32,4,280
TOTAL,136,77,162,211,389,354,300,204,128,16,1977
