rpe,gt_rep_waveform_1677_reps,rpe_only_143_sets,vo2_lag45_96_sets
1,6.9,0.0,0.0
2,3.2,0.0,0.0
3,8.9,2.1,1.0
4,11.7,4.9,1.0
5,21.0,9.1,8.3
6,17.9,16.1,14.6
7,14.1,18.9,19.8
8,9.8,15.4,16.7
9,5.7,25.2,31.2
10,0.7,8.4,7.3
