,db_bench_press,db_biceps_curl,db_rdl,db_shoulder_press,db_squat,db_triceps_curl,db_weighted_crunch,one_arm_db_row
db_bench_press,72.23,0.56,0.03,25.25,0.10,0.29,1.47,0.07
db_biceps_curl,0.04,98.84,0.32,0.24,0.00,0.52,0.00,0.04
db_rdl,0.00,0.00,75.39,0.00,0.03,0.00,0.00,24.58
db_shoulder_press,17.66,0.04,0.00,61.90,4.36,0.75,15.29,0.00
db_squat,0.00,2.10,0.00,0.59,96.81,0.08,0.42,0.00
db_triceps_curl,0.57,0.00,0.00,0.20,0.00,98.78,0.12,0.32
db_weighted_crunch,7.28,0.28,0.00,15.93,5.42,0.40,70.70,0.00
one_arm_db_row,5.98,1.99,26.37,0.00,0.00,0.00,0.00,65.66
