fold,test_subjects,accuracy,balanced_accuracy,macro_f1
1,yentsen0515workout,0.9935876883616543,0.9934296377471497,0.9932259070608213
2,"haoyu0512workout,thomas0506",0.6637466307277629,0.6579084968251132,0.661470881196375
3,"yanz0510workout,yoru0511workout",0.9287514318442154,0.9280825384839001,0.9249558562246111
4,"kevin0509workout,yushuan0513workout",0.7639299522401638,0.7738548383232462,0.7553767118332515
5,"hsianshun0514workout,ziho0512workout",0.6174389408810774,0.6432625636090328,0.6036987953824329
