fold,test_subjects,accuracy,balanced_accuracy,macro_f1
1,yentsen0515workout,0.9541519717858288,0.9515098660274794,0.9554266173347432
2,"haoyu0512workout,thomas0506",0.7019317160826595,0.6951069753042514,0.6934430272730221
3,"yanz0510workout,yoru0511workout",0.8985108820160367,0.9086803919517152,0.8995858495261349
4,"kevin0509workout,yushuan0513workout",0.756424835114851,0.7641869107894429,0.7513788205588008
5,"hsianshun0514workout,ziho0512workout",0.6160693905501027,0.6398613012513333,0.604299193843811
