fold,test_subjects,accuracy,balanced_accuracy,macro_f1
1,yentsen0515workout,0.9563962808592498,0.9538557497202379,0.9569410295429642
2,"haoyu0512workout,thomas0506",0.7102425876010782,0.7034564185657699,0.6990319790296506
3,"yanz0510workout,yoru0511workout",0.9369988545246277,0.9450223877284999,0.9384912682471427
4,"kevin0509workout,yushuan0513workout",0.7646122356151922,0.7732624164588076,0.7568690398447292
5,"hsianshun0514workout,ziho0512workout",0.6667427527961652,0.6825274444014859,0.6783100880951025
