fold,test_subjects,accuracy,balanced_accuracy,macro_f1
1,yentsen0515workout,0.9913433792882335,0.9909309327018756,0.9909675820071961
2,"haoyu0512workout,thomas0506",0.6727313566936208,0.6677884795126421,0.6739603292386905
3,"yanz0510workout,yoru0511workout",0.9301260022909508,0.9294726978602701,0.9263086043926607
4,"kevin0509workout,yushuan0513workout",0.7632476688651353,0.7730301541599336,0.7546004418397678
5,"hsianshun0514workout,ziho0512workout",0.6185802328235562,0.6433836758979199,0.6081363618057154
