folder,exercise,set_id,set_index_numeric,borg,kg,n_reps,total_tut_sec,total_concentric_sec,total_eccentric_sec,mean_rep_duration_sec,mean_concentric_sec,mean_eccentric_sec,mean_concentric_ratio,mean_phase_balance_abs,duration_gain_last2_vs_first2,concentric_gain_last2_vs_first2,eccentric_gain_last2_vs_first2,velocity_loss_last2_vs_first2,pca_range_loss_last2_vs_first2,gyro_diff_gain_last2_vs_first2,acc_diff_gain_last2_vs_first2,sim_to_first_mean,sim_to_first_min,sim_to_first_last,sim_to_first_last_minus_first,rep_duration_slope,concentric_sec_slope,eccentric_sec_slope,pca_range_slope,movement_rate_slope,gyro_mag_diff_rms_slope,acc_mag_diff_rms_slope,sim_to_first_slope,rep_duration_cv,pca_range_cv,movement_rate_cv,sim_to_first_std,kg_x_total_tut,kg_x_n_reps,pca_range_mean,pca_range_max,pca_range_std,pca_diff_rms_mean,pca_diff_rms_max,pca_diff_rms_std,acc_mag_range_mean,acc_mag_range_max,acc_mag_range_std,acc_mag_diff_rms_mean,acc_mag_diff_rms_max,acc_mag_diff_rms_std,gyro_mag_range_mean,gyro_mag_range_max,gyro_mag_range_std,gyro_mag_diff_rms_mean,gyro_mag_diff_rms_max,gyro_mag_diff_rms_std,mag_mag_range_mean,mag_mag_range_max,mag_mag_range_std,gx_range_mean,gx_range_max,gx_range_std,gy_range_mean,gy_range_max,gy_range_std,gz_range_mean,gz_range_max,gz_range_std,cumulative_tut_exercise_sec
haoyu0512workout,db_bench_press,0,0,8.0,8.0,13,74.23705799999999,63.815724,41.197841999999994,5.710542923076923,4.908901846153846,3.169064769230769,0.6750127638490752,0.2042113620167731,3.568894952251023,10.349333333333334,5.815642458100559,0.7402196370793537,-0.1567361410263121,-0.420192676950057,-0.0234331950986941,-0.1147463535609116,-0.8294431014610609,-0.8294431014610609,-1.8294431014610608,4.520564307692308,6.549178153846155,3.4935216923076924,0.0960289534967548,-0.3353746958769663,-0.0820505877208696,-0.0028414708186203,-0.3154177926702002,0.740392639771041,0.1746092572088266,0.3438006638330145,0.6061905994643018,593.8964639999999,104.0,4.018702302007721,5.277969474477279,0.730355246951247,0.0518249592350126,0.0740067654786037,0.0174356421867716,1.1450826407815786,2.4298662249688534,0.4973435665232479,0.1290082838548403,0.1503698466846764,0.0120251262941409,5.32387019214658,9.336376877650528,1.532114869865775,0.2844150984212796,0.4688961874295516,0.0705107851846016,0.750723727169058,1.2841185679808502,0.227143671515666,6.637054705595191,11.861132602077198,1.8838248639434816,5.921523166751184,9.000627146257846,1.3867387178325314,5.477601880187573,8.75726689673837,1.2085899684270311,74.23705799999999
haoyu0512workout,db_bench_press,1,1,9.0,8.0,12,47.296116000000005,28.293048,18.99387,3.941343,2.357754,1.5828224999999998,0.5958485147246586,0.191939983773904,0.0895705521472391,-0.0344827586206896,0.3150684931506848,-0.1759627700384838,-0.3196174749767524,-0.1492486461847193,0.040226909713003,0.1813165939081782,-0.5596056727546154,0.3443159740257461,-0.6556840259742539,0.0258251538461538,-0.0870272307692307,0.1144443461538462,0.4503013630691553,0.1016796917375711,-0.026959982838353,-0.003612565410046,-0.0005095962878698,0.1137335512217156,0.1083323794505605,0.1287784025389696,0.3800033726322265,378.368928,96.0,4.693233920084059,5.570942556373447,0.5310369779191395,0.0742460475807672,0.0992145653109253,0.011691515153564,1.0573975541802905,1.3667659971991448,0.1519004724435467,0.1398827196704932,0.1704613885096865,0.0175943132739941,5.522740098193974,6.531520985871161,0.7402934467750014,0.3321728400432124,0.3855091291286815,0.0330915508528308,0.5825055019033013,0.705326232940473,0.0548123092829507,6.430084638687503,7.326641293184894,0.5355085964238242,5.931742607792638,7.207502980986376,0.6914165567006917,5.515357013286436,6.890104752975173,0.659451493445741,121.533174
haoyu0512workout,db_bench_press,2,2,9.0,8.0,12,49.549626,29.783124,19.766502000000003,4.1291355,2.481927,1.6472085000000003,0.6015050372998311,0.2030100745996619,0.2985274431057565,0.4018475750577366,0.1560509554140126,-0.0224450023280919,-0.2897261987298996,0.1425252496697506,0.0195736473570329,0.0836619242246151,-0.3776899501915499,-0.266957153686615,-1.266957153686615,0.6440368846153848,0.4683904615384617,0.175646423076923,0.6460675036812312,-0.0021674218309204,0.0060275394945092,-0.0005260765604066,-0.3522471688059919,0.1353688115032968,0.1439556547928649,0.1652868486231807,0.4233154957665648,396.397008,96.0,4.708781649233842,5.92442024003927,0.707997235612631,0.0676119293464826,0.0896304939151866,0.0116371058882181,1.0558592176188148,1.413612095286202,0.1546853278644646,0.1298555101477471,0.1600534128351299,0.0141836221119229,5.252960254281999,6.408069512395315,0.7457191843106388,0.3199045780884429,0.3770084628377124,0.0307909061371269,0.7087300482576379,0.8146911587625707,0.0659952577332002,6.180999315415057,7.600252735684744,0.667496269527835,5.863605379138228,6.969163524172553,0.5232904300667461,5.627838304867257,6.225676365413287,0.5197013797649215,171.0828
haoyu0512workout,db_biceps_curl,0,0,9.0,5.0,12,40.50799199999999,14.229306,26.278686,3.375665999999999,1.1857755,2.1898905,0.3481365912775889,0.3214288882531054,0.1274999999999999,-0.4107142857142857,0.6446078431372548,0.0991514081546669,-0.0300394992821342,-0.1819075851474629,-0.4908584712918585,0.3845943849674306,-0.2141138859372359,0.5230248639301566,-0.4769751360698434,0.1121448461538461,-0.4706899615384615,0.5828348076923079,-0.0710106060980091,-0.0427841272788362,-0.0090130170766043,-0.0312907366288843,-0.1646285232045914,0.2278370207922058,0.0962353238955942,0.1897865972202544,0.313479882224943,202.53995999999995,60.0,3.1701548359834923,4.071285553120758,0.3186465841300348,0.0391434870538069,0.0799963100876676,0.0167360452709511,0.7911717995369374,1.1679203463706114,0.1372227066127159,0.108555351285169,0.1689319314335484,0.026764178424999,3.057406274581421,3.936268451229106,0.4150976258084384,0.0686132681518236,0.0836434055508259,0.0098250078420857,0.9435998466638976,1.082549101300572,0.1447849667095377,5.75091727537859,6.455498142026858,0.5289839774732863,3.145925261548862,4.053412749674983,0.3686000400877754,3.6313480734329313,4.810676011591476,0.4831743746705214,40.50799199999999
haoyu0512workout,db_biceps_curl,1,1,9.0,5.0,12,41.271426000000005,15.213492,26.057934000000003,3.4392855000000004,1.267791,2.1714945,0.3694244677917709,0.2611510644164581,0.1706970128022757,-0.0860927152317879,0.364089775561097,0.1390957389869282,-0.0165668470688082,-0.1505723751828683,-0.3085364039422335,0.7619770211059423,0.6008948302264293,0.8528422280105846,-0.1471577719894153,0.2895601153846155,-0.1163900769230769,0.4059501923076923,0.0119290195790628,-0.072810570599863,-0.0044474033187271,-0.0167102412924448,-0.0685695415894482,0.0743675014639419,0.0312372554792418,0.0907085433400507,0.1228445309690968,206.35713000000004,60.0,2.996670127072003,3.1283806754055696,0.0977701065574834,0.0238393629887138,0.0324705051329205,0.0032084112449444,0.641666273061972,0.9392187182733418,0.1353146233974919,0.0871375612887429,0.133963321938198,0.0162803956054146,2.9896717468602625,3.352692344742636,0.2634159510677906,0.0658333571250477,0.0887706609363032,0.0097350190992987,1.0142945461396045,1.175869436182643,0.0779921162807037,5.686683961136164,6.851539815034448,0.5391891323524828,3.1558186573213427,3.492191133753228,0.1954688575647666,3.3678884016986537,3.5540031722651317,0.1356142349372948,81.77941799999999
haoyu0512workout,db_biceps_curl,3,3,9.0,5.0,12,41.243832,14.634018,26.609814,3.4369859999999997,1.2195015,2.2174845,0.3546985010915016,0.2906029978169965,0.0804438280166435,0.0932835820895523,0.0728476821192052,0.0769050166298721,0.0059204711081968,-0.3810892740445516,-0.4435739918245688,0.8690212558069531,0.48213343033871,0.8564520264281772,-0.1435479735718228,0.1797147692307693,0.0872041153846154,0.0925106538461539,-0.0222565130524033,-0.0536199558084976,-0.0228377269951948,-0.0367814394585876,-0.0415576638012129,0.0455256933004475,0.0526910686963912,0.070008381182164,0.1639893529362393,206.21916,60.0,3.132803326503455,3.4110367089192444,0.1724107808853544,0.0371483209322196,0.1001012120295592,0.0230071145082706,0.85631833485674,1.432497936803638,0.1941633217743859,0.1120139644148309,0.1756618906325247,0.0285227056205948,3.028118477514738,3.51445331694433,0.2758567284158419,0.0878463636863097,0.1234976440242505,0.0180637184849845,1.0185614993344074,1.2648424078167837,0.1032985698879112,5.734675761373347,6.931556880887465,0.6065729320705054,3.2189807820634466,3.5743795388491173,0.1640227661015519,3.469372409712452,3.756543707631426,0.1480060847207363,123.02324999999999
haoyu0512workout,db_rdl,0,0,9.0,10.5,12,51.159276000000006,28.578186,22.571892,4.263273000000001,2.3815155000000003,1.880991,0.5585932363277749,0.1187883211244059,-0.0581039755351682,-0.1423728813559321,0.0690537084398976,0.1102314905058617,0.1750500873364758,0.0014545874847733,0.2567721018144051,0.2023003106840488,-0.2647276946093898,0.7074075179535237,-0.2925924820464762,-0.0275939999999998,-0.1682172692307691,0.1418614615384615,-0.4595186792650274,-0.0954459315790697,0.0140062546656396,0.0105155948117173,-0.1263434172816686,0.0904585044653834,0.1054413399053215,0.1224919397590948,0.3907500823392612,537.172398,126.0,4.777989854281632,6.330022024687771,0.5261994863192258,0.082166916846021,0.110770959074287,0.0130908450368844,0.8581391584575456,1.054533867103999,0.1183160474686721,0.0923583207193122,0.1129381056360668,0.0150690536522117,5.300753727153679,8.290041672000633,1.2251338631708613,0.4529993373251106,0.5405019208336806,0.0471212173834601,2.1020778779063236,2.851196096395122,0.3715570636182627,6.285905137726072,7.756761139054763,0.8941100347263745,5.358369174921701,6.371935610521978,0.5216812844737532,7.319756598208994,12.498710180240089,2.0085125912781225,51.159276000000006
haoyu0512workout,db_rdl,1,1,9.0,10.5,12,45.934812,26.324675999999997,19.610135999999997,3.827901,2.193723,1.6341779999999997,0.5709243461049677,0.1434826791380399,0.2081151832460732,0.3768472906403939,0.0167597765363129,0.1945836607115959,0.029395828844332,-0.0202398170016538,0.0561376661799626,0.2677713459588674,-0.781482394496334,-0.7631795482572442,-1.7631795482572443,0.2476384615384614,0.2854917692307692,-0.0378533076923076,-0.0985171557544649,-0.1046533431527047,-0.0104188766831523,0.006637635181595,-0.8416557213976466,0.1000921066068301,0.064117018719924,0.0941027754429965,0.7086844737402862,482.315526,126.0,4.60247547069839,5.203361268235861,0.3082187704130273,0.0697899283153665,0.08118374984565,0.008863633675051,0.8800256943807944,1.015947118640014,0.1055485103946063,0.0977063776128123,0.1216104578093762,0.0125572042878663,5.072564195739218,7.460121138782695,1.1582955256482128,0.397672380177638,0.4509525891672415,0.0433638145352181,1.7791172731493996,2.0512257238284293,0.1919972048776077,6.231484392983365,8.37266088221791,1.08215818302681,5.329852574971424,5.967798865273567,0.4017475632879224,5.539519854964908,5.992391441809502,0.3364320821290907,97.094088
haoyu0512workout,db_rdl,2,2,9.0,10.5,12,53.394389999999994,30.85929,22.535099999999996,4.449532499999999,2.5716075000000003,1.8779249999999996,0.5766245035125448,0.1701359380089368,-0.3482506102522376,-0.3989637305699482,-0.2625820568927789,-0.2763914560609442,0.1730716988497429,0.6378152445729943,1.045353637459872,0.1596133750196086,-0.6341837119106463,0.7130449879859727,-0.2869550120140275,-0.6638479615384616,-0.6136127307692308,-0.0502352307692307,-0.3058474612845357,0.079079898135208,0.0536524731496941,0.0361343224404007,-0.0010511571530113,0.1626500903504922,0.0822029581831726,0.1082523730802462,0.5743716882006229,560.641095,126.0,4.687254223239953,5.592292659242534,0.4024391619846975,0.0672064607995104,0.0873900439763473,0.0087593032355764,0.8367236042654085,1.2807720184502935,0.202247429648138,0.0896343056463071,0.1667547419733948,0.0290747508784471,5.217595237819383,7.756240671895016,1.083367068393439,0.3948228358048937,0.5671098354941786,0.083022740693123,1.6240294719516104,1.942837092328333,0.2027032557372013,6.4520099702288904,9.75067507356844,1.265079491229807,5.193524895366166,6.407720457256938,0.5566085006363775,5.736055501195953,7.129104413036609,0.7968481939491576,150.488478
haoyu0512workout,db_shoulder_press,0,0,7.0,5.0,12,45.5301,28.633374,16.896725999999997,3.794175000000001,2.3861145,1.4080604999999995,0.6258612568248908,0.2517225136497814,-0.2474849094567405,-0.2431192660550458,-0.2558823529411765,-0.1973081858307492,0.0568112470426614,-0.0686897570576661,-0.0997100783321811,0.1333308572126753,-0.738806574450287,0.7008514301011809,-0.2991485698988191,-0.5211020769230769,-0.3288285000000001,-0.1922735769230769,-0.0374603976625256,0.1146889956994236,-0.0128585715702169,-0.0139452930558173,0.0196217233178504,0.1617792106819557,0.1241996684742178,0.206430831078421,0.6149903889431282,227.6505,60.0,3.7724005669977103,4.847198946982373,0.4893645646518569,0.0503548706321726,0.0654257040824521,0.0098229384926141,0.900905308684492,1.1916343717128877,0.1485663994936806,0.1444450343968208,0.1925452630758316,0.0227750253436521,4.262918106360393,4.933792273438774,0.4379283214212921,0.3375063541862416,0.3795847668726354,0.0347433529936444,1.6197260268919156,1.986873946849531,0.1658679118469635,5.9752119443539655,8.174053688479928,0.89689073438,5.326611793709007,6.852265819760021,0.7544619377256072,5.158604546254309,5.668589922787502,0.2983015743795656,45.5301
