,1,2,3,4,5,6,7,8,9,10
1,0.0,0.0,0.06086956521739131,0.5565217391304348,0.3130434782608696,0.06956521739130435,0.0,0.0,0.0,0.0
2,0.0,0.018518518518518517,0.037037037037037035,0.4074074074074074,0.2777777777777778,0.2222222222222222,0.037037037037037035,0.0,0.0,0.0
3,0.0,0.006711409395973154,0.053691275167785234,0.33557046979865773,0.3825503355704698,0.18120805369127516,0.040268456375838924,0.0,0.0,0.0
4,0.0,0.0,0.0663265306122449,0.2653061224489796,0.3673469387755102,0.22448979591836735,0.0663265306122449,0.01020408163265306,0.0,0.0
5,0.0,0.0,0.036827195467422094,0.29461756373937675,0.3002832861189802,0.24362606232294617,0.11048158640226628,0.014164305949008499,0.0,0.0
6,0.0,0.0,0.03322259136212625,0.1893687707641196,0.2857142857142857,0.3521594684385382,0.12624584717607973,0.013289036544850499,0.0,0.0
7,0.0,0.004219409282700422,0.012658227848101266,0.1308016877637131,0.28270042194092826,0.4008438818565401,0.14767932489451477,0.02109704641350211,0.0,0.0
8,0.0,0.0,0.018292682926829267,0.06707317073170732,0.17682926829268292,0.40853658536585363,0.27439024390243905,0.054878048780487805,0.0,0.0
9,0.0,0.0,0.0,0.03125,0.08333333333333333,0.3541666666666667,0.4791666666666667,0.052083333333333336,0.0,0.0
10,0.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.5,0.16666666666666666,0.0,0.0
