,1,2,3,4,5,6,7,8,9,10
1,43,15,16,14,10,3,8,3,0,3
2,7,4,9,13,7,10,1,3,0,0
3,28,26,15,28,9,7,10,16,8,2
4,36,32,28,29,13,12,14,17,12,3
5,61,33,39,56,32,14,33,38,37,10
6,40,32,24,40,24,21,39,43,30,8
7,13,10,24,22,28,22,37,34,43,4
8,10,8,17,9,11,9,25,29,40,6
9,1,3,5,2,5,4,22,25,25,4
10,0,3,0,1,0,0,1,1,5,1
