model,n,mae,spearman,pm1_acc,exact_accuracy,macro_f1,weighted_f1,pred_std,pred_min,pred_max,pred_class_distribution
balanced_extra_trees_classifier,1677,1.8658318425760285,0.36335690746823945,0.49672033392963627,0.18783542039355994,0.15737652845541594,0.18521915124094723,2.149873079803412,1.0,10.0,"{""1"": 150, ""2"": 20, ""3"": 131, ""4"": 201, ""5"": 396, ""6"": 327, ""7"": 194, ""8"": 131, ""9"": 94, ""10"": 33}"
ridge_affine_train_cal,1677,1.7032527221741023,0.3794336017824208,0.5289206917113893,0.18843172331544425,0.13878244199037917,0.18058356350631322,1.6791213955421183,1.0,10.0,"{""1"": 10, ""2"": 49, ""3"": 192, ""4"": 314, ""5"": 371, ""6"": 337, ""7"": 231, ""8"": 119, ""9"": 37, ""10"": 17}"
ridge_raw,1677,1.6983323353578685,0.3788757010522339,0.5313059033989267,0.18783542039355994,0.13532751280802727,0.17872743465106367,1.6602577356353767,1.0,10.0,"{""1"": 10, ""2"": 45, ""3"": 191, ""4"": 314, ""5"": 376, ""6"": 342, ""7"": 231, ""8"": 116, ""9"": 36, ""10"": 16}"
balanced_rf_classifier,1677,1.7757901013714967,0.35840924708131,0.5152057245080501,0.18545020870602266,0.13453167646280886,0.1716497238591185,1.8661671256477124,1.0,10.0,"{""1"": 100, ""2"": 13, ""3"": 75, ""4"": 109, ""5"": 557, ""6"": 401, ""7"": 180, ""8"": 156, ""9"": 52, ""10"": 34}"
balanced_logistic_classifier,1677,2.279666070363745,0.361848246397569,0.3875968992248062,0.14072748956469885,0.1282541961334453,0.13826558606691405,2.805879432021598,1.0,10.0,"{""1"": 239, ""2"": 166, ""3"": 177, ""4"": 214, ""5"": 139, ""6"": 102, ""7"": 190, ""8"": 209, ""9"": 200, ""10"": 41}"
rf_reg_quantile_train_cal,1677,1.5332184199214467,0.4327417029848028,0.545020870602266,0.20155038759689922,0.11416667166378835,0.1726177089661448,1.1090851281662772,1.1424117503544773,8.987643985685683,"{""1"": 1, ""2"": 3, ""3"": 65, ""4"": 284, ""5"": 549, ""6"": 490, ""7"": 246, ""8"": 33, ""9"": 6}"
rf_reg_variance_train_cal,1677,1.5378195668613615,0.4562831443256488,0.5456171735241503,0.18604651162790697,0.1065616199860863,0.1609961654379739,1.148113417143049,1.884032941649704,8.296838963106229,"{""2"": 4, ""3"": 71, ""4"": 395, ""5"": 463, ""6"": 469, ""7"": 237, ""8"": 38}"
rf_reg_affine_train_cal,1677,1.5359436458768039,0.45520061873908124,0.5480023852116875,0.18902802623732856,0.10561868498545321,0.16109239128034872,1.1137174234559504,1.9863982591139502,8.210955855303634,"{""2"": 3, ""3"": 59, ""4"": 394, ""5"": 477, ""6"": 482, ""7"": 230, ""8"": 32}"
rf_reg_raw,1677,1.539968179382068,0.43951564710178787,0.5485986881335718,0.2003577817531306,0.08722961036884543,0.14951286987555262,0.8053874921393135,2.857373465423466,7.443647274947275,"{""3"": 8, ""4"": 295, ""5"": 663, ""6"": 588, ""7"": 123}"
