model,class,support,correct,class_accuracy_recall,precision,recall,f1_score
rf_reg_raw,1,115,0,0.0,0.0,0.0,0.0
rf_reg_raw,2,54,0,0.0,0.0,0.0,0.0
rf_reg_raw,3,149,2,0.013422818791946308,0.25,0.013422818791946308,0.025477707006369428
rf_reg_raw,4,196,38,0.19387755102040816,0.1288135593220339,0.19387755102040816,0.15478615071283094
rf_reg_raw,5,353,154,0.43626062322946174,0.23227752639517346,0.43626062322946174,0.3031496062992126
rf_reg_raw,6,301,121,0.4019933554817276,0.20578231292517007,0.4019933554817276,0.2722159730033746
rf_reg_raw,7,237,21,0.08860759493670886,0.17073170731707318,0.08860759493670886,0.11666666666666667
rf_reg_raw,8,164,0,0.0,0.0,0.0,0.0
rf_reg_raw,9,96,0,0.0,0.0,0.0,0.0
rf_reg_raw,10,12,0,0.0,0.0,0.0,0.0
rf_reg_affine_train_cal,1,115,0,0.0,0.0,0.0,0.0
rf_reg_affine_train_cal,2,54,1,0.018518518518518517,0.3333333333333333,0.018518518518518517,0.03508771929824561
rf_reg_affine_train_cal,3,149,8,0.053691275167785234,0.13559322033898305,0.053691275167785234,0.07692307692307693
rf_reg_affine_train_cal,4,196,52,0.2653061224489796,0.1319796954314721,0.2653061224489796,0.17627118644067796
rf_reg_affine_train_cal,5,353,106,0.3002832861189802,0.2222222222222222,0.3002832861189802,0.25542168674698795
rf_reg_affine_train_cal,6,301,106,0.3521594684385382,0.21991701244813278,0.3521594684385382,0.2707535121328225
rf_reg_affine_train_cal,7,237,35,0.14767932489451477,0.15217391304347827,0.14767932489451477,0.14989293361884368
rf_reg_affine_train_cal,8,164,9,0.054878048780487805,0.28125,0.054878048780487805,0.09183673469387756
rf_reg_affine_train_cal,9,96,0,0.0,0.0,0.0,0.0
rf_reg_affine_train_cal,10,12,0,0.0,0.0,0.0,0.0
rf_reg_variance_train_cal,1,115,0,0.0,0.0,0.0,0.0
rf_reg_variance_train_cal,2,54,1,0.018518518518518517,0.25,0.018518518518518517,0.034482758620689655
rf_reg_variance_train_cal,3,149,9,0.06040268456375839,0.1267605633802817,0.06040268456375839,0.08181818181818182
rf_reg_variance_train_cal,4,196,50,0.25510204081632654,0.12658227848101267,0.25510204081632654,0.1692047377326565
rf_reg_variance_train_cal,5,353,101,0.28611898016997167,0.21814254859611232,0.28611898016997167,0.24754901960784315
rf_reg_variance_train_cal,6,301,103,0.34219269102990035,0.21961620469083157,0.34219269102990035,0.2675324675324675
rf_reg_variance_train_cal,7,237,37,0.15611814345991562,0.15611814345991562,0.15611814345991562,0.15611814345991562
rf_reg_variance_train_cal,8,164,11,0.06707317073170732,0.2894736842105263,0.06707317073170732,0.10891089108910891
rf_reg_variance_train_cal,9,96,0,0.0,0.0,0.0,0.0
rf_reg_variance_train_cal,10,12,0,0.0,0.0,0.0,0.0
rf_reg_quantile_train_cal,1,115,0,0.0,0.0,0.0,0.0
rf_reg_quantile_train_cal,2,54,1,0.018518518518518517,0.3333333333333333,0.018518518518518517,0.03508771929824561
rf_reg_quantile_train_cal,3,149,9,0.06040268456375839,0.13846153846153847,0.06040268456375839,0.08411214953271028
rf_reg_quantile_train_cal,4,196,35,0.17857142857142858,0.12323943661971831,0.17857142857142858,0.14583333333333334
rf_reg_quantile_train_cal,5,353,136,0.38526912181303113,0.24772313296903462,0.38526912181303113,0.30155210643015523
rf_reg_quantile_train_cal,6,301,103,0.34219269102990035,0.21020408163265306,0.34219269102990035,0.2604298356510746
rf_reg_quantile_train_cal,7,237,42,0.17721518987341772,0.17073170731707318,0.17721518987341772,0.17391304347826086
rf_reg_quantile_train_cal,8,164,10,0.06097560975609756,0.30303030303030304,0.06097560975609756,0.10152284263959391
rf_reg_quantile_train_cal,9,96,2,0.020833333333333332,0.3333333333333333,0.020833333333333332,0.0392156862745098
rf_reg_quantile_train_cal,10,12,0,0.0,0.0,0.0,0.0
ridge_raw,1,115,2,0.017391304347826087,0.2,0.017391304347826087,0.032
ridge_raw,2,54,1,0.018518518518518517,0.022222222222222223,0.018518518518518517,0.020202020202020204
ridge_raw,3,149,24,0.1610738255033557,0.1256544502617801,0.1610738255033557,0.1411764705882353
ridge_raw,4,196,54,0.2755102040816326,0.17197452229299362,0.2755102040816326,0.21176470588235294
