iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
0.25,2132,15337,1770,13567,362,0.1154,0.8302,0.2026,0.4554
0.5,2132,15337,563,14774,1569,0.0367,0.2641,0.0645,0.6208
0.75,2132,15337,92,15245,2040,0.006,0.0432,0.0105,0.8401
